benchmark,classifier,method,Validity,Proximity,Sparsity,OOD,TRSI,CF_faith_mean,CF_faith_std,CF_faith_hard,IVR
LinearSCMT,lstm,comte,0.4500,10.9976,0.7000,-0.2451,1.8606,-7.9171,4.3526,0.0000,1.0000
LinearSCMT,lstm,dice,0.5000,0.0723,0.9400,-0.2344,0.0201,-0.0232,0.1112,0.1000,0.0600
LinearSCMT,lstm,tsevo,0.9400,8.1692,0.0001,-0.1993,2.2664,-5.7019,3.1607,0.0000,1.0000
LinearSCMT,lstm,carla,0.4500,0.5149,0.0017,-0.2344,0.1442,-0.0969,0.0842,0.0400,1.0000
NlinearSCMT,lstm,comte,0.4300,9.3208,0.7000,-0.2083,2.2621,-3.4489,2.4743,0.0000,1.0000
NlinearSCMT,lstm,dice,0.6800,0.4577,0.7402,-0.1901,0.1762,-0.0615,0.1498,0.1000,0.2600
NlinearSCMT,lstm,tsevo,0.9700,7.8063,0.0001,-0.1417,3.0135,-2.8140,1.9869,0.0000,1.0000
NlinearSCMT,lstm,carla,0.4400,0.3818,0.0019,-0.1904,0.1512,-0.0226,0.0318,0.1000,1.0000
LinearSCMT,lstm,wachter,1.0000,0.1828,0.9967,-0.2322,0.0054,-0.0209,0.0215,0.3333,0.0000
LinearSCMT,lstm,comte,1.0000,3.5421,0.0000,-0.2262,0.4585,-2.3934,1.6604,0.0000,1.0000
LinearSCMT,lstm,tsevo,1.0000,14.0572,0.0011,-0.2167,4.2877,-10.7678,8.7743,0.0000,1.0000
LinearSCMT,lstm,glacier,1.0000,13.9101,0.0233,-0.2767,3.9586,-10.1967,3.4432,0.0000,1.0000
LinearSCMT,lstm,cels,1.0000,1.0346,0.7111,-0.2318,0.0335,-0.5480,0.4989,0.0000,1.0000
LinearSCMT,lstm,confetti,1.0000,15.5199,0.4822,-0.2420,4.3741,-11.6712,4.3082,0.0000,1.0000
LinearSCMT,lstm,carla,0.4500,0.5149,0.0017,-0.2344,0.1442,-0.0969,0.0842,0.0400,1.0000
LinearSCMT,lstm,wachter,0.5467,1.2950,0.9943,-0.2353,0.0621,-0.6347,1.2409,0.0400,0.0067
LinearSCMT,lstm,comte,1.0000,6.3407,0.4833,-0.1741,0.7994,-4.7090,8.0230,0.0500,0.5167
LinearSCMT,lstm,tsevo,1.0000,15.2109,0.0004,-0.2391,4.4185,-11.3774,8.2138,0.0000,1.0000
LinearSCMT,lstm,glacier,1.0000,13.8103,0.0199,-0.2758,3.7251,-10.3606,6.0789,0.0000,1.0000
LinearSCMT,lstm,cels,0.9800,1.1028,0.4289,-0.2375,0.0704,-0.4470,0.6833,0.0133,0.9833
LinearSCMT,lstm,confetti,1.0000,14.8651,0.5015,-0.2524,4.0114,-11.1852,6.4547,0.0000,1.0000
LinearSCMT,lstm,carla,0.4967,0.5424,0.0020,-0.2361,0.1524,-0.1169,0.1196,0.0167,1.0000
NlinearSCMT,lstm,wachter,0.5333,1.0739,0.9918,-0.1984,0.0967,-0.1999,0.3975,0.0600,0.0000
NlinearSCMT,lstm,comte,1.0000,9.9615,0.4767,-0.0601,1.5672,-3.9284,6.8956,0.0533,0.5233
NlinearSCMT,lstm,tsevo,1.0000,14.7078,0.0003,-0.1815,5.6846,-5.6591,4.8688,0.0000,1.0000
NlinearSCMT,lstm,glacier,1.0000,13.3147,0.0164,-0.2700,4.9752,-4.9724,3.2062,0.0000,1.0000
NlinearSCMT,lstm,cels,0.9433,1.0713,0.6086,-0.2000,0.1151,-0.1726,0.3393,0.0433,0.8400
NlinearSCMT,lstm,confetti,1.0000,13.0427,0.5071,-0.2267,4.7933,-4.8635,3.1881,0.0000,1.0000
NlinearSCMT,lstm,carla,0.4733,0.3801,0.0018,-0.1980,0.1439,-0.0190,0.0235,0.0933,1.0000
NlinearSCMT_Nonmonotonic,lstm,wachter,0.5167,0.0862,0.9957,-0.2057,0.0360,NA,NA,0.0000,0.0233
NlinearSCMT_Nonmonotonic,lstm,comte,1.0000,0.6040,0.4867,-0.1905,1.6754,NA,NA,0.0000,0.5133
NlinearSCMT_Nonmonotonic,lstm,tsevo,1.0000,8.0384,0.0534,-0.0738,34.1477,NA,NA,0.0000,1.0000
NlinearSCMT_Nonmonotonic,lstm,glacier,1.0000,2.4605,0.0136,-0.2232,6.6014,NA,NA,0.0000,1.0000
NlinearSCMT_Nonmonotonic,lstm,cels,1.0000,0.1441,0.3878,-0.2067,0.1558,NA,NA,0.0000,1.0000
NlinearSCMT_Nonmonotonic,lstm,confetti,1.0000,2.1841,0.5659,-0.2113,5.8118,NA,NA,0.0000,1.0000
NlinearSCMT_Nonmonotonic,lstm,carla,0.5000,0.0715,0.0004,-0.2055,0.2415,NA,NA,0.0000,1.0000
