benchmark,classifier,method,SHD,LagAcc,AUC,TV_conf
LinearSCMT,lstm,comte,18.0000,0.0000,NA,NA
LinearSCMT,lstm,dice,18.0000,0.0000,NA,NA
LinearSCMT,lstm,tsevo,18.0000,0.0000,NA,NA
LinearSCMT,lstm,carla,18.0000,0.0000,NA,NA
NlinearSCMT,lstm,comte,18.0000,0.0000,NA,NA
NlinearSCMT,lstm,dice,18.0000,0.0000,NA,NA
NlinearSCMT,lstm,tsevo,18.0000,0.0000,NA,NA
NlinearSCMT,lstm,carla,18.0000,0.0000,NA,NA
LinearSCMT,lstm,wachter,18.0000,0.0000,NA,NA
LinearSCMT,lstm,comte,18.0000,0.0000,NA,NA
LinearSCMT,lstm,tsevo,18.0000,0.0000,NA,NA
LinearSCMT,lstm,glacier,18.0000,0.0000,NA,NA
LinearSCMT,lstm,cels,18.0000,0.0000,NA,NA
LinearSCMT,lstm,confetti,18.0000,0.0000,NA,NA
LinearSCMT,lstm,carla,18.0000,0.0000,NA,NA
LinearSCMT,lstm,wachter,18.0000,0.0000,NA,NA
LinearSCMT,lstm,comte,18.0000,0.0000,NA,NA
LinearSCMT,lstm,tsevo,18.0000,0.0000,NA,NA
LinearSCMT,lstm,glacier,18.0000,0.0000,NA,NA
LinearSCMT,lstm,cels,18.0000,0.0000,NA,NA
LinearSCMT,lstm,confetti,18.0000,0.0000,NA,NA
LinearSCMT,lstm,carla,18.0000,0.0000,NA,NA
NlinearSCMT,lstm,wachter,18.0000,0.0000,NA,NA
NlinearSCMT,lstm,comte,18.0000,0.0000,NA,NA
NlinearSCMT,lstm,tsevo,18.0000,0.0000,NA,NA
NlinearSCMT,lstm,glacier,18.0000,0.0000,NA,NA
NlinearSCMT,lstm,cels,18.0000,0.0000,NA,NA
NlinearSCMT,lstm,confetti,18.0000,0.0000,NA,NA
NlinearSCMT,lstm,carla,18.0000,0.0000,NA,NA
NlinearSCMT_Nonmonotonic,lstm,wachter,18.0000,0.0000,NA,NA
NlinearSCMT_Nonmonotonic,lstm,comte,18.0000,0.0000,NA,NA
NlinearSCMT_Nonmonotonic,lstm,tsevo,18.0000,0.0000,NA,NA
NlinearSCMT_Nonmonotonic,lstm,glacier,18.0000,0.0000,NA,NA
NlinearSCMT_Nonmonotonic,lstm,cels,18.0000,0.0000,NA,NA
NlinearSCMT_Nonmonotonic,lstm,confetti,18.0000,0.0000,NA,NA
NlinearSCMT_Nonmonotonic,lstm,carla,18.0000,0.0000,NA,NA
