dataset,classifier,method,metric,change_kind,value_run1,value_run2,delta,attribution
smoke,lstm,CftsCOMTE,cf_faith_pearl_hard_given_valid,new_metric,,0,,Stage 2 D5 conditional-faithfulness metric
smoke,lstm,CftsCOMTE,cf_faith_pearl_soft,changed_value,0.750346978467,0.886044550142,0.135697571674,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,cf_faith_rollout_hard_given_valid,new_metric,,0,,Stage 2 D5 conditional-faithfulness metric
smoke,lstm,CftsCOMTE,cf_faith_rollout_soft,changed_value,0.662557172735,0.771287844508,0.108730671773,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,do_complexity_mean_all,new_metric,,30,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsCOMTE,do_complexity_mean_pearl_scorable,new_metric,,30,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsCOMTE,do_complexity_stability,changed_value,1,1.00172413793,0.00172413793103,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,frac_no_do_schedule,new_metric,,0,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsCOMTE,n,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,n_cf_faith_scorable,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,n_do_scorable,new_metric,,20,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsCOMTE,ood,changed_value,-0.011501729307,0.0604806186173,0.0719823479243,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,pns_PS_C_world_oracle,changed_value,0,0.05,0.05,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,pns_PS_delta_outcome,changed_value,0,-0.05,-0.05,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,pns_PS_delta_total,changed_value,1,0.95,-0.05,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,pns_PS_n,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,pns_PS_n_scorable,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,proximity_l1,changed_value,41.9982708359,16.1809494977,-25.8173213381,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
