benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,horizon,t0,t_label,label_horizon
full_interior_label_late_seed1,lstm,CARLA,0,1,8.541405075987427,1.4824588308387654,0.95,0.0,0.95,1.2149387650589283,95,0,1.0,0.9999999917786981,0.0,0.928399084234497,1.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,1,1,14.37672263439229,2.8279139391018364,0.951,0.0,0.95,1.4603208592211625,95,0,1.0,0.9999999887414863,0.0,0.8729167617730186,1.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,2,0,21.29715314702454,3.857621732642245,0.95,0.0,0.95,1.4819734116321899,95,0,1.0,0.9999999920273782,0.0,0.866871597564242,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,3,0,11.651197313722777,2.301626960469292,0.95,0.0,0.95,1.3425555361432995,95,0,1.0,0.9999999941518262,0.0,0.869459720973053,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,4,0,20.09532975244712,3.518061603058043,0.95,0.0,0.95,1.4428259883503691,95,0,1.0,0.9999999832992086,0.0,0.8460400358555923,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,5,1,9.918628797648728,1.8210209045321104,0.95,0.0,0.95,1.0724748916278404,95,0,1.0,0.9999999941805265,0.0,0.8672442621133298,1.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,6,0,16.471641175878144,3.075968311080171,0.95,0.0,0.95,1.6090981886702607,95,0,1.0,0.9999999872269928,0.0,0.8683260558225883,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,7,0,16.378031003176197,2.907634058826592,0.95,0.0,0.95,1.2774841021588264,95,0,1.0,0.9999999827576003,0.0,0.8697319046515071,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,8,0,20.196016869162847,3.603205799795189,0.95,0.0,0.95,1.5000221254023842,95,0,1.0,0.9999999841105012,0.0,0.9054733745831351,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,9,0,14.819367102731679,2.8843482190044987,0.95,0.0,0.95,1.3988293576022435,95,0,1.0,0.9999999836971462,0.0,0.8599183834526606,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,10,1,19.858874718070034,3.5245228306965912,0.95,0.0,0.95,1.5918453032410675,95,0,1.0,0.9999999797817718,0.0,0.9124590703969084,1.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,11,0,23.75716720618441,4.34113471506636,0.95,0.0,0.95,1.544243632268216,95,0,1.0,0.9999999816578383,0.0,0.9191402841730886,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,12,0,15.325063529530684,2.7761364551050955,0.95,0.0,0.95,1.5752112313822582,95,0,1.0,0.9999999895867069,0.0,0.8796240248770293,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,13,0,15.266457208532339,2.502455260800626,0.95,0.0,0.95,1.5206795293809776,95,0,1.0,0.9999999908964448,0.0,0.8439260104864964,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,14,1,16.25097798216609,3.1679299503496945,0.95,0.0,0.95,1.5035175385046613,95,0,1.0,0.9999999866917924,0.0,0.8791604924460638,1.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,15,0,17.78348975654119,3.33153509311769,0.95,0.0,0.95,1.2139592054202821,95,0,1.0,0.9999999830373617,0.0,0.8753546251787747,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,16,0,16.40831103912324,3.5611838611150506,0.95,0.0,0.95,1.6443499193559041,95,0,1.0,0.999999981907263,0.0,0.9275009481217291,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,17,0,24.548871202022102,4.605666058964321,0.95,0.0,0.95,1.0660293630385842,95,0,1.0,0.9999999837331891,0.0,0.8851858963730693,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,18,1,8.43744816624078,1.6873066189100168,0.95,0.0,0.95,1.3136448624548642,95,0,1.0,0.999999995476671,0.0,0.8576647001652676,1.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,CARLA,19,0,11.023449260272297,2.154020079496358,0.95,0.0,0.95,1.5033155321521492,95,0,1.0,0.999999995866711,0.0,0.8880903678521,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,0,1,7.796216234564074,1.5976179692776085,0.95,0.0,0.95,1.3117682884965096,95,0,0.0,0.9283990911193448,1.0,0.9999999863409367,0.0,1.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,1,1,12.776119785283068,2.463720608476783,0.95,0.0,0.95,1.586056518878425,95,0,0.0,0.8729167731565208,1.0,0.9999999838983168,0.0,1.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,2,0,37.399916457946496,6.930307846556182,0.95,0.0,0.95,1.4819466909715677,95,0,0.0,0.8668716087304597,1.0,0.9999999668504703,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,3,1,27.519535163548174,5.668080485706706,0.95,0.0,0.95,1.3583577205920865,95,0,0.0,0.8694597269815811,1.0,0.9999999720515036,0.0,1.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,4,1,23.449412396434095,4.535663236372325,0.95,0.0,0.95,1.4978748968688085,95,0,0.0,0.8460400512412537,1.0,0.9999999733930341,0.0,1.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,5,1,7.489509775851377,1.6288784997196022,0.95,0.0,0.95,1.3581877770445556,95,0,0.0,0.8672442632739333,1.0,0.9999999889199321,0.0,1.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,6,0,32.951145642088974,6.440784940468949,0.95,0.0,0.95,1.2878848642404914,95,0,0.0,0.8683260620575283,1.0,0.9999999619000334,0.0,0.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,7,1,23.11445250943292,4.170539040370806,0.95,0.0,0.95,1.3497513693495733,95,0,0.0,0.8697318999047603,1.0,0.9999999739503332,0.0,1.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,8,1,22.53071478686777,4.263282976267467,0.95,0.0,0.95,1.5274478552349227,95,0,0.0,0.9054733761610958,1.0,0.9999999783573494,0.0,1.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,9,1,12.612780052174733,2.9763452825324745,0.952,0.0,0.95,1.7217678294171541,95,0,0.0,0.859918401594184,1.0,0.9999999722123297,0.0,1.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,10,1,22.76422772663078,4.101709306291249,0.95,0.0,0.95,1.576874245273329,95,0,0.0,0.9124590682777205,1.0,0.9999999790147253,0.0,1.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,11,1,25.041428012541967,4.923291001411982,0.953,0.0,0.95,1.5462315817944143,95,0,0.0,0.9191402844281449,1.0,0.9999999764695037,0.0,1.0,5,95,90,-5
full_interior_label_late_seed1,lstm,PearlCARLA,12,1,38.217885150234274,7.70716826573557,0.95,0.0,0.95,1.517632974397684,95,0,0.0,0.8796240158609415,1.0,0.9999999696649005,0.0,1.0,5,95,90,-5
