benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_interior_label_late_seed1,lstm,CARLA,0,1,100.69086124965679,5.961910056132058,0.502,0.0,0.5,1.5335979777142665,0.5522022781021357,50,0,1.0,0.9999999930870025,0.0,0.8196326377549399,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,1,1,152.40540717964862,7.6940014797086125,0.258,0.0,0.25,1.4374755287336187,0.2509257362299809,25,0,1.0,0.9999999985871252,0.0,0.8169024858127376,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,2,1,98.82213202203802,5.812013791684757,0.5,0.0,0.5,1.424866789141339,0.5029835431710994,50,0,1.0,0.9999999959572196,0.0,0.8206437187729385,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,3,1,140.25752712434783,6.871850957368295,0.254,0.0,0.25,1.374577025160933,0.2264357834565216,25,0,1.0,0.9999999985175752,0.0,0.82895204955979,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,4,1,158.2720884276731,7.738106100604807,0.256,0.0,0.25,1.4446489668602824,0.25359722569263315,25,0,1.0,0.9999999987439979,0.0,0.8104557418610986,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,5,1,134.63902540701963,6.452387369149087,0.253,0.0,0.25,1.3726812243597861,0.2248135895806361,25,0,1.0,0.999999998428989,0.0,0.8355439677426296,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,6,1,93.4413740221585,5.596906667430519,0.503,0.0,0.5,1.4140155838128758,0.5046432907478376,50,0,1.0,0.9999999988229419,0.0,0.8343612608641638,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,7,1,149.37496970995466,6.985632496138128,0.252,0.0,0.25,1.3451181042402889,0.26995907753497234,25,0,1.0,0.9999999970400255,0.0,0.8196810140348203,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,8,1,142.5995526049372,7.074029734101529,0.256,0.0,0.25,1.3878687161146628,0.2523071720768626,25,0,1.0,0.9999999985643537,0.0,0.8268454089748376,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,9,1,147.348557590296,7.278371401148931,0.252,0.0,0.25,1.5130019995301063,0.23985542486406483,25,0,1.0,0.9999999975691757,0.0,0.8213354346036648,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,10,1,153.71397643263424,7.380184752805392,0.254,0.0,0.25,1.5237079229062593,0.25455978500727533,25,0,1.0,0.9999999978900022,0.0,0.8157212847239119,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,11,1,166.13870071636734,8.648149274862467,0.255,0.0,0.25,1.5373906759121392,0.24977486747188063,25,0,1.0,0.99999999887081,0.0,0.8012120834963194,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,12,1,92.59831830293103,5.647601529578543,0.502,0.0,0.5,1.5084621808068517,0.5416036899507901,50,0,1.0,0.999999995563424,0.0,0.8343015801231979,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,13,1,180.61294936853633,8.682881288994784,0.252,0.0,0.25,1.5401476173195565,0.26415380890308277,25,0,1.0,0.9999999986323466,0.0,0.7866139443475666,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,14,1,134.8046245348329,6.437873060865351,0.252,0.0,0.25,1.4952634795917608,0.25982968108890814,25,0,1.0,0.9999999983738482,0.0,0.8362721423013231,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,15,1,106.18428921919102,6.292836336915331,0.501,0.0,0.5,1.4681506253136765,0.48883366199414174,50,0,1.0,0.9999999945533206,0.0,0.8126995109571846,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,16,1,164.60727091690393,8.098011544505784,0.254,0.0,0.25,1.5815973181476795,0.2515654631383182,25,0,1.0,0.9999999984309836,0.0,0.8031827433390981,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,17,1,142.3323001266816,6.824234816553211,0.254,0.0,0.25,1.518775882706517,0.2458195331299003,25,0,1.0,0.9999999983059147,0.0,0.8274720705088471,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,18,1,103.86105537517417,6.027098249357022,0.502,0.0,0.5,1.4574673066577568,0.49780950373368255,50,0,1.0,0.9999999991157252,0.0,0.8108397118888027,1.0,0.0
full_interior_label_late_seed1,lstm,CARLA,19,1,125.80107311496533,6.215993973627977,0.252,0.0,0.25,1.4511757138713899,0.24198145178982175,25,0,1.0,0.9999999972888783,0.0,0.846570365661593,1.0,0.0
full_interior_label_late_seed1,lstm,PearlCARLA,0,1,104.19400491391136,10.238657051083587,0.618,0.0,0.5,1.9896162933388415,0.8817066291820078,50,0,0.0,0.81963264213748,1.0,0.9999999616318841,0.0,1.0
full_interior_label_late_seed1,lstm,PearlCARLA,1,0,11.839967276116917,1.1505636273356263,0.658,0.0,0.46,1.9780411391370045,0.9650838544927846,25,0,0.0,0.8169024868258782,1.0,0.9999999802747336,0.0,0.0
full_interior_label_late_seed1,lstm,PearlCARLA,2,0,0.2837088299882993,0.02738515102928742,0.913,0.0,0.82,1.9837460813455567,0.9973150475622155,25,0,0.0,0.8106115288833745,1.0,0.9999999849390577,0.0,0.0
full_interior_label_late_seed1,lstm,PearlCARLA,3,0,3.8067982441075623,0.3683745382301731,0.74,0.0,0.57,1.9826442494978105,0.995870258064484,25,0,0.0,0.8289520504912377,1.0,0.9999999839276147,0.0,0.0
