benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,horizon,t0,t_label,label_horizon
full_interior_label_seed1,lstm,CARLA,0,1,13.957658286373393,2.108988529065485,0.91,0.0,0.91,1.2269573449255842,91,1,1.0,0.9999999918344612,0.0,0.858975973501688,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,1,1,14.66748771872567,1.9325371857027493,0.91,0.0,0.91,1.2273074197063163,91,1,1.0,0.9999999903365018,0.0,0.8554545975329115,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,2,1,13.642597460919522,1.8913011684725716,0.91,0.0,0.91,1.3475532581039047,91,1,1.0,0.9999999947068366,0.0,0.8803349639928626,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,3,1,14.308892939657365,2.0942654254466793,0.91,0.0,0.91,1.5553305429328657,91,1,1.0,0.9999999967056908,0.0,0.8757994599082,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,4,1,17.265218316471348,2.460435951846712,0.91,0.0,0.91,1.389581460858175,91,1,1.0,0.9999999965768043,0.0,0.8326937426413018,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,5,1,14.051722580132841,1.9301375889305976,0.91,0.0,0.91,1.48927094954578,91,1,1.0,0.9999999936059082,0.0,0.8553124452513943,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,6,1,15.050420147319773,2.542219656416959,0.911,0.0,0.91,1.4442870363590639,91,1,1.0,0.999999997089514,0.0,0.8653298654056362,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,7,1,18.34477611039458,2.552668918085363,0.91,0.0,0.91,1.346215111942867,91,1,1.0,0.9999999944865151,0.0,0.8398472410922132,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,8,1,15.18086047378782,2.058209177806445,0.91,0.0,0.91,1.4124006774615618,91,1,1.0,0.9999999954153491,0.0,0.8658938288819042,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,9,1,15.3115904144055,2.1769301448017924,0.91,0.0,0.91,1.1615947318679858,91,1,1.0,0.9999999967754354,0.0,0.8740438850489689,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,10,1,14.750059114515922,2.0341097908738965,0.91,0.0,0.91,1.5396720673669102,91,1,1.0,0.9999999957458136,0.0,0.8679783857699569,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,11,1,15.494749991619365,2.2647514108084223,0.911,0.0,0.91,1.5288569421210378,91,1,1.0,0.9999999938893462,0.0,0.8576972635478771,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,12,1,17.63811194229708,2.6101869978641457,0.911,0.0,0.91,1.5113375771397195,91,1,1.0,0.9999999973586006,0.0,0.8526254668828742,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,13,1,10.297503674562599,1.4905577435153432,0.91,0.0,0.91,1.2776619773615914,91,1,1.0,0.9999999919857002,0.0,0.9012317075724253,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,14,1,15.266692914323103,2.1791751977123086,0.91,0.0,0.91,1.4533289324499128,91,1,1.0,0.9999999964667026,0.0,0.855677478802626,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,15,1,14.710519577738163,2.152092622951441,0.912,0.0,0.91,1.4602875660830903,91,1,1.0,0.9999999964154757,0.0,0.8542576677502505,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,16,1,14.096408447984706,2.088305942295216,0.91,0.0,0.91,1.3967310104301316,91,1,1.0,0.9999999979137192,0.0,0.8659626851724374,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,17,1,13.710106839966123,1.8679058847428232,0.911,0.0,0.91,1.409574289158581,91,1,1.0,0.9999999950702376,0.0,0.8732527354416716,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,18,1,18.50139970589861,2.6645994123553125,0.91,0.0,0.91,1.5020752964880981,91,1,1.0,0.9999999960676789,0.0,0.8355145449086555,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,CARLA,19,1,16.257495617082405,2.4358079279766995,0.911,0.0,0.91,1.48907964272851,91,1,1.0,0.9999999971947195,0.0,0.8293008244482247,1.0,0.0,10,90,60,-30
full_interior_label_seed1,lstm,PearlCARLA,0,1,0.12957969407630393,0.018957075124700285,0.958,0.0,0.91,0.9180539325270018,90,0,0.0,0.8697352157778038,1.0,0.9999999850803264,0.0,1.0,10,90,60,-30
full_interior_label_seed1,lstm,PearlCARLA,1,1,0.13527374738070921,0.019787997406886082,0.956,0.0,0.9,0.9571006529044055,90,0,0.0,0.8635717845963762,1.0,0.9999999835649463,0.0,1.0,10,90,60,-30
full_interior_label_seed1,lstm,PearlCARLA,2,1,0.13277694756237424,0.01945244068994341,0.959,0.0,0.9,0.9821390693012328,90,0,0.0,0.8725026050441941,1.0,0.999999986554511,0.0,1.0,10,90,60,-30
full_interior_label_seed1,lstm,PearlCARLA,3,1,0.13011843159236178,0.019218006228442608,0.957,0.0,0.9,0.9273255435885384,90,0,0.0,0.8666793917802033,1.0,0.9999999893162692,0.0,1.0,10,90,60,-30
full_interior_label_seed1,lstm,PearlCARLA,4,1,0.12550485822741694,0.018898033099754186,0.959,0.0,0.91,0.8856624383394133,90,0,0.0,0.8415042125650306,1.0,0.9999999889207394,0.0,1.0,10,90,60,-30
full_interior_label_seed1,lstm,PearlCARLA,5,1,0.1289805952995008,0.01905527786910555,0.959,0.0,0.91,0.9052605254566392,90,0,0.0,0.8689773574646721,1.0,0.999999987067001,0.0,1.0,10,90,60,-30
full_interior_label_seed1,lstm,PearlCARLA,6,1,0.13144281077598788,0.019387778331030527,0.958,0.0,0.91,0.936680422896037,90,0,0.0,0.860299663680038,1.0,0.9999999832950213,0.0,1.0,10,90,60,-30
full_interior_label_seed1,lstm,PearlCARLA,7,1,0.12979293526443175,0.019149517360837153,0.961,0.0,0.91,0.8964089457558375,90,0,0.0,0.8324945443208308,1.0,0.9999999811958395,0.0,1.0,10,90,60,-30
full_interior_label_seed1,lstm,PearlCARLA,8,1,0.13032304095802186,0.019151517547600957,0.958,0.0,0.91,0.9149872732531663,90,0,0.0,0.8591836112487817,1.0,0.9999999885724358,0.0,1.0,10,90,60,-30
full_interior_label_seed1,lstm,PearlCARLA,9,1,0.13910684714478494,0.02047583257222352,0.956,0.0,0.9,1.0067975539951821,90,0,0.0,0.857959371116002,1.0,0.9999999865682359,0.0,1.0,10,90,60,-30
full_interior_label_seed1,lstm,PearlCARLA,10,1,0.13272020467248571,0.019547348139572897,0.958,0.0,0.91,0.9289576792145714,90,0,0.0,0.862878515465446,1.0,0.9999999888368069,0.0,1.0,10,90,60,-30
full_interior_label_seed1,lstm,PearlCARLA,11,1,0.1295377325655393,0.019036742672924444,0.957,0.0,0.91,0.9652546493977538,90,0,0.0,0.8565738570242979,1.0,0.9999999900926,0.0,1.0,10,90,60,-30
