benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_interior_label_seed1,lstm,CARLA,0,1,157.70888550546874,7.829202979844954,0.263,0.0,0.26,1.4539950417335088,0.24888002578114218,26,1,1.0,0.9999999988649937,0.0,0.8092371974218419,1.0,0.0
full_interior_label_seed1,lstm,CARLA,1,1,146.31610760597806,7.234217167959332,0.263,0.0,0.26,1.4377487636364816,0.25249410534094296,26,1,1.0,0.9999999984157028,0.0,0.8226033317212599,1.0,0.0
full_interior_label_seed1,lstm,CARLA,2,1,149.68063532680307,7.491232837539535,0.265,0.0,0.26,1.4019575219846203,0.24955666965307446,26,1,1.0,0.9999999983676076,0.0,0.8173526120074763,1.0,0.0
full_interior_label_seed1,lstm,CARLA,3,1,133.3009012270551,6.6107250233545924,0.265,0.0,0.26,1.473757159558828,0.220281816152032,26,1,1.0,0.9999999988172329,0.0,0.8358563879055783,1.0,0.0
full_interior_label_seed1,lstm,CARLA,4,1,147.31211260509045,7.394067097738307,0.261,0.0,0.26,1.42653550523663,0.270029418019913,26,1,1.0,0.9999999987399381,0.0,0.8215989873738223,1.0,0.0
full_interior_label_seed1,lstm,CARLA,5,1,170.78442971629815,8.383907788448074,0.264,0.0,0.26,1.6040261912692848,0.2726730615122378,26,1,1.0,0.9999999991656949,0.0,0.7949928541846152,1.0,0.0
full_interior_label_seed1,lstm,CARLA,6,1,147.30201247502606,7.433196291231376,0.262,0.0,0.26,1.5209375206726554,0.24824665782082522,26,1,1.0,0.9999999971748871,0.0,0.8221015697848373,1.0,0.0
full_interior_label_seed1,lstm,CARLA,7,1,153.95950804206467,7.657219618264534,0.264,0.0,0.26,1.4503343575862209,0.2587591242922359,26,1,1.0,0.9999999967975294,0.0,0.8159920935443464,1.0,0.0
full_interior_label_seed1,lstm,CARLA,8,1,148.32026994366913,7.19752360529046,0.262,0.0,0.26,1.4975534253870373,0.24764362738301493,26,1,1.0,0.9999999992388622,0.0,0.8232382575815103,1.0,0.0
full_interior_label_seed1,lstm,CARLA,9,1,129.3053535706149,6.357221712452812,0.269,0.0,0.26,1.2828804244055916,0.2576627254054006,26,1,1.0,0.9999999982066536,0.0,0.8407087738589037,1.0,0.0
full_interior_label_seed1,lstm,CARLA,10,1,139.76345825637006,6.914233633845598,0.265,0.0,0.26,1.5035468878301312,0.23842336215961696,26,1,1.0,0.9999999986011113,0.0,0.8296158034278819,1.0,0.0
full_interior_label_seed1,lstm,CARLA,11,1,152.91965484759578,7.504144337344306,0.261,0.0,0.26,1.4991169645708853,0.26699356818038367,26,1,1.0,0.9999999989066671,0.0,0.8154664819260594,1.0,0.0
full_interior_label_seed1,lstm,CARLA,12,1,160.43793421068955,7.734311419915139,0.261,0.0,0.26,1.4630610154726926,0.25667069806202536,26,1,1.0,0.9999999989094477,0.0,0.8074533446943729,1.0,0.0
full_interior_label_seed1,lstm,CARLA,13,1,139.71755266350667,7.070487326355759,0.262,0.0,0.26,1.471442406209015,0.25735066482113,26,1,1.0,0.9999999976941111,0.0,0.8299469640103121,1.0,0.0
full_interior_label_seed1,lstm,CARLA,14,1,130.88474040062175,6.610067055367519,0.263,0.0,0.26,1.4475588912769275,0.25089005616853927,26,1,1.0,0.999999990324242,0.0,0.8383752445861627,1.0,0.0
full_interior_label_seed1,lstm,CARLA,15,1,151.57198215479104,7.534759598269761,0.263,0.0,0.26,1.3716698309942428,0.27725994931301073,26,1,1.0,0.9999999983563898,0.0,0.8180820346147256,1.0,0.0
full_interior_label_seed1,lstm,CARLA,16,1,157.6881738297125,8.047871748283468,0.262,0.0,0.26,1.5247774102354668,0.2564037053984621,26,1,1.0,0.9999999963607065,0.0,0.8151180387418808,1.0,0.0
full_interior_label_seed1,lstm,CARLA,17,1,133.17745321755336,6.598197062432032,0.265,0.0,0.26,1.3663287376520092,0.23967817092256433,26,1,1.0,0.9999999989446582,0.0,0.8375733241548972,1.0,0.0
full_interior_label_seed1,lstm,CARLA,18,1,146.77932228213479,7.052719236502164,0.263,0.0,0.26,1.4905671205770308,0.25995656201692996,26,1,1.0,0.9999999958252399,0.0,0.8201300811043708,1.0,0.0
full_interior_label_seed1,lstm,CARLA,19,1,149.73208605889494,7.175029071339073,0.262,0.0,0.26,1.422354862109962,0.25987110377285444,26,1,1.0,0.9999999981824448,0.0,0.817598142930049,1.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,0,1,3.684906013388511e-05,2.8444030624107777e-06,1.0,1.0,1.0,1.7980159211343623,0.9518128380248744,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,1,1,4.9110423906448784e-05,4.133512378327597e-06,1.0,1.0,1.0,1.8540270112828627,0.9684417875399997,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,2,1,5.1732936089733694e-05,4.24957813305911e-06,1.0,1.0,1.0,1.8904462563726885,0.9974049490185802,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,3,1,4.60754408456237e-05,3.981521238496277e-06,1.0,1.0,1.0,1.8726051052459352,0.9139929661599231,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,4,1,4.395783049924171e-05,3.5935894937168365e-06,1.0,1.0,1.0,1.849829545992107,0.94228630981271,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,5,1,5.079510476085642e-05,3.4935002940897975e-06,1.0,1.0,1.0,1.8936284123578762,0.9458237879608944,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,6,1,4.350771524146797e-05,3.6300957698256674e-06,1.0,1.0,1.0,1.8438630415059467,0.9980256463931514,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,7,1,4.0753809640403475e-05,2.958771416919716e-06,1.0,1.0,1.0,1.8176190447424994,0.997639232392156,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,8,1,3.5353165753619284e-05,2.7625996325343566e-06,1.0,1.0,1.0,1.819806378639925,0.9676214160867627,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,9,1,6.182189960988321e-05,5.523589287269075e-06,1.0,1.0,1.0,1.9065629678832972,0.9645376459413513,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,10,1,4.770202506176229e-05,3.5219618496559846e-06,1.0,1.0,1.0,1.8973819887604741,0.958501544028806,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,11,1,5.436321244506846e-05,4.4145062515329935e-06,1.0,1.0,1.0,1.8918761072547108,0.972376447872085,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,12,1,3.379543147699962e-05,2.3844625167187187e-06,1.0,1.0,1.0,1.7876822984785607,0.9662802533450308,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,13,1,4.244570043804817e-05,3.382006339865291e-06,1.0,1.0,1.0,1.824324863398816,0.9858700717040483,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,14,1,5.751995904868445e-05,5.105447051232122e-06,1.0,1.0,1.0,1.8788065713964803,0.9553692321441372,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,15,1,5.3286282832975835e-05,4.401790483929042e-06,1.0,1.0,1.0,1.8946015309999242,0.9914887497096215,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,16,1,3.9564546425248544e-05,3.0835383695457085e-06,1.0,1.0,1.0,1.8541332017310013,0.9881928830480653,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,17,1,4.3278282244174106e-05,3.4849023029881147e-06,1.0,1.0,1.0,1.882603772276794,0.9592440472263914,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,18,1,5.279019624216969e-05,4.6323013773816975e-06,1.0,1.0,1.0,1.8704505761452,0.9997622173052493,99,1,nan,nan,nan,nan,0.0,0.0
full_interior_label_seed1,lstm,PearlCARLA,19,1,4.6653723640466467e-05,3.925910928221789e-06,1.0,1.0,1.0,1.8432380348874275,0.97830372382268,99,1,nan,nan,nan,nan,0.0,0.0
