benchmark,classifier,method,instance,validity,no_cf_found,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,do_complexity,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,cf_faith_rollout_hard_given_valid,cf_faith_pearl_hard_given_valid
full_nl,lstm,CftsCOMTE,0,1,0,15.461300586146226,2.016570896283501,0.901,0.9,0.01,1.2018107588836477,0.9840367433179467,0,0,100,0.0,0.8785657471542399,0.0,0.9846589784877338,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,1,1,0,12.189919686974218,1.6703498233479033,0.901,0.9,0.01,1.1735532265501132,0.9889361008262134,0,0,99,0.0,0.8817878779669146,0.0,0.9879118079836551,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,2,1,0,16.69556672552335,2.193914836023976,0.9,0.9,0.0,1.0248876410827963,0.9978438928947756,0,0,100,0.0,0.8754024899470291,0.0,0.9835305919329115,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,3,1,0,17.719773811586997,2.20791257413413,0.9,0.9,0.0,0.951635353590409,0.9725059772592993,0,0,100,0.0,0.8816573046219174,0.0,0.9824642860041276,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,4,1,0,17.56334651756869,2.3213704274352263,0.9,0.9,0.0,1.0986948154892942,0.9791773378467251,0,0,100,0.0,0.8835870517322229,0.0,0.9826782341780914,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,5,1,0,16.86534675773542,2.276821354124166,0.9,0.9,0.0,1.1548795497498652,0.9950592297079162,0,0,100,0.0,0.8796140700947503,0.0,0.983297279863207,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,6,1,0,18.414698274261198,2.4014437268690605,0.901,0.9,0.01,1.2134755967814304,0.9766910545809283,0,0,100,0.0,0.8795869146226019,0.0,0.981765437618453,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,7,1,0,13.972231857219263,1.7257445648421175,0.9,0.9,0.0,1.1809018223351297,0.9953972422325489,0,0,100,0.0,0.8807122716457328,0.0,0.9862425227006502,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,8,1,0,15.677039280800596,2.0496983782428484,0.901,0.9,0.01,1.0830360214812578,0.9768634522252683,0,0,100,0.0,0.8829659276653912,0.0,0.9845472559541065,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,9,1,0,12.829516630212051,1.6939619712675988,0.9,0.9,0.0,1.228447098815851,0.9619714722767939,0,0,100,0.0,0.8832400098641051,0.0,0.9872656313199486,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,10,1,0,16.02177012418361,2.0016814314505984,0.9,0.9,0.0,1.1227336657966083,0.9774551837251656,0,0,100,0.0,0.8784037380729939,0.0,0.9841711559156231,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,11,1,0,16.253704828773703,2.0797696120239726,0.9,0.9,0.0,1.1965849715090726,0.9781148646214313,0,0,100,0.0,0.88545090137016,0.0,0.9838793085989855,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,12,1,0,18.471314620216173,2.3155447935015903,0.9,0.9,0.0,1.1060773597203089,0.995573563817482,0,0,100,0.0,0.8833285145700132,0.0,0.9817054095123073,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,13,1,0,14.40989460676257,1.8468452407129297,0.9,0.9,0.0,1.2121500127102827,0.9536649868675937,0,0,100,0.0,0.8852696320343381,0.0,0.9856968921711386,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,14,1,0,17.603108238593183,2.2633992830738614,0.9,0.9,0.0,0.9716790637348239,0.9916502059854279,0,0,100,0.0,0.880501183082554,0.0,0.9825826651637267,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,15,1,0,15.435057027821234,1.9292503356308277,0.9,0.9,0.0,1.1298416664572144,0.9979990803840293,0,0,100,0.0,0.8760810658359545,0.0,0.9848025692501754,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,16,1,0,14.452055606782618,1.8720672183462428,0.9,0.9,0.0,1.1443298328082534,0.9746920693307011,0,0,100,0.0,0.8781277590668454,0.0,0.9856740433878582,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,17,1,0,15.52218450865076,1.958191101979685,0.901,0.9,0.01,1.1090589468504493,0.9927180466567329,0,0,100,0.0,0.8803161724903256,0.0,0.984781822027643,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,18,1,0,15.206054549700863,2.041375616013817,0.9,0.9,0.0,1.1889530480681398,0.9437592712588802,0,0,100,0.0,0.8824518244838233,0.0,0.98495902485643,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,19,1,0,16.15496890215398,2.1068854087901356,0.901,0.9,0.01,1.108216476322425,0.9774685493104012,0,0,100,0.0,0.8822777635273343,0.0,0.9839867098359801,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,20,1,0,16.04757630601623,2.1244481820401613,0.9,0.9,0.0,1.2719604411917216,0.9973645940394568,0,0,100,0.0,0.8817261629861189,0.0,0.9840854072343254,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,21,1,0,16.79641697233385,2.200200840382224,0.9,0.9,0.0,1.1602387390916842,0.9844797891553541,0,0,100,0.0,0.8719076488459669,0.0,0.983491977491924,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,22,1,0,14.362168522232155,1.9065796377624329,0.901,0.9,0.01,1.2851857826620503,0.9932981417853954,0,0,100,0.0,0.8793777829030848,0.0,0.9858425669463514,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,23,1,0,18.42687732794456,2.256078739191492,0.9,0.9,0.0,1.0462583918546138,0.9977974679964381,0,0,100,0.0,0.878290129317056,0.0,0.9819969882152468,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,24,1,0,14.976252604528984,1.913922999778598,0.901,0.9,0.01,1.1211324643173748,0.987144852903226,0,0,100,0.0,0.8835691170189021,0.0,0.9851731154306704,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,25,1,0,17.45193517073919,2.1461994842822776,0.9,0.9,0.0,1.013383365113525,0.9493875516408565,0,0,100,0.0,0.8710410856553126,0.0,0.9830237779523642,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,26,1,0,18.811638173746484,2.361891725701789,0.9,0.9,0.0,1.092116280601556,0.9792108173543806,0,0,100,0.0,0.8810582873422449,0.0,0.9815724361332671,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,27,1,0,12.445662630911269,1.6096462111368646,0.902,0.9,0.02,1.1766180373264647,0.9934713425415652,0,0,100,0.0,0.882545765160223,0.0,0.9876657624868451,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,28,1,0,15.15327807842786,1.862519009819262,0.9,0.9,0.0,1.2109020001201696,0.9798696910453422,0,0,100,0.0,0.8812319377156045,0.0,0.9849737940551401,0.0,0.0,0.0,0.0
full_nl,lstm,CftsCOMTE,29,1,0,15.115900733972165,1.929593619420167,0.9,0.9,0.0,1.1557498767539747,0.9794990246419393,0,0,100,0.0,0.8853073976931959,0.0,0.9850659719732783,0.0,0.0,0.0,0.0
