benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_nl_seed0,lstm,CARLA,0,1,82.29626820885792,4.0560021295276085,0.264,0.0,0.26,1.0915892129678308,26,1,1.0,0.9999999999661725,0.0,0.8962218315173154,1.0,0.0
full_nl_seed0,lstm,CARLA,1,1,92.54739852778016,4.531206978894943,0.262,0.0,0.26,1.0535614571444474,26,1,1.0,0.9999999999707562,0.0,0.8845167999042276,1.0,0.0
full_nl_seed0,lstm,CARLA,2,1,85.19604924902166,4.271486033163656,0.262,0.0,0.26,1.0561560289324035,26,1,1.0,0.9999999999542221,0.0,0.8929135510029687,1.0,0.0
full_nl_seed0,lstm,CARLA,3,1,86.44170233850329,4.296071581444632,0.263,0.0,0.26,1.0666126929965243,26,1,1.0,0.999999999958374,0.0,0.8914782186755135,1.0,0.0
full_nl_seed0,lstm,CARLA,4,1,80.1980385487407,3.959033248055269,0.265,0.0,0.26,1.1048629127952694,26,1,1.0,0.9999999999302545,0.0,0.898234787269356,1.0,0.0
full_nl_seed0,lstm,CARLA,5,1,55.407611408281824,3.445421890933547,0.514,0.0,0.51,0.9935923137369851,51,1,1.0,0.9999999998937018,0.0,0.8947547812772413,1.0,0.0
full_nl_seed0,lstm,CARLA,6,1,88.43173199227607,4.468282010125732,0.262,0.0,0.26,1.0605118031563143,26,1,1.0,0.9999999999808528,0.0,0.8904286482393803,1.0,0.0
full_nl_seed0,lstm,CARLA,7,1,88.94887225626138,4.285228647628547,0.262,0.0,0.26,1.076870253504972,26,1,1.0,0.9999999999854323,0.0,0.8882873959023468,1.0,0.0
full_nl_seed0,lstm,CARLA,8,1,89.97716189622662,4.437985581547996,0.264,0.0,0.26,1.0502662809899055,26,1,1.0,0.9999999999873755,0.0,0.8877385298392745,1.0,0.0
full_nl_seed0,lstm,CARLA,9,1,85.84623694330956,4.262456239049578,0.265,0.0,0.26,1.0746738288928168,26,1,1.0,0.9999999999384496,0.0,0.8918009304292844,1.0,0.0
full_nl_seed0,lstm,CARLA,10,1,55.963543539306514,3.443563250532101,0.513,0.0,0.51,1.0569644824590936,51,1,1.0,0.9999999999664383,0.0,0.8954357690898647,1.0,0.0
full_nl_seed0,lstm,CARLA,11,1,90.886843543308,4.366360954791009,0.264,0.0,0.26,1.0456388950401818,26,1,1.0,0.9999999999769851,0.0,0.8849770592137538,1.0,0.0
full_nl_seed0,lstm,CARLA,12,1,92.31513940076563,4.6783295060837995,0.263,0.0,0.26,1.0830799223206928,26,1,1.0,0.9999999999336986,0.0,0.8839058857041837,1.0,0.0
full_nl_seed0,lstm,CARLA,13,1,87.48995764894165,4.315946441947528,0.266,0.0,0.26,1.0672138842260044,26,1,1.0,0.9999999999638052,0.0,0.8893393207608283,1.0,0.0
full_nl_seed0,lstm,CARLA,14,1,86.14014870998565,4.298406314479114,0.262,0.0,0.26,1.086125515226012,26,1,1.0,0.9999999999750738,0.0,0.8922179795526654,1.0,0.0
full_nl_seed0,lstm,CARLA,15,1,49.33464945549281,3.024470904808637,0.515,0.0,0.51,1.0701785650366114,51,1,1.0,0.9999999999364935,0.0,0.9051450218045866,1.0,0.0
full_nl_seed0,lstm,CARLA,16,1,57.76253096939936,3.5412869214472806,0.515,0.0,0.51,1.023973507290698,51,1,1.0,0.9999999999503432,0.0,0.8909161281317433,1.0,0.0
full_nl_seed0,lstm,CARLA,17,1,53.29704563642988,3.2469715189467143,0.512,0.0,0.51,1.0467202059371703,51,1,1.0,0.999999999953587,0.0,0.8990834663659442,1.0,0.0
full_nl_seed0,lstm,CARLA,18,1,83.99834924106298,4.088013442975201,0.264,0.0,0.26,1.0765806512864993,26,1,1.0,0.9999999999533946,0.0,0.894253442766181,1.0,0.0
full_nl_seed0,lstm,CARLA,19,1,92.25412130042812,4.566475113036965,0.263,0.0,0.26,1.0271144441609548,26,1,1.0,0.9999999999719357,0.0,0.8853315687932872,1.0,0.0
full_nl_seed0,lstm,CARLA,20,1,84.98570452194795,4.181657052892084,0.261,0.0,0.26,1.106600698393217,26,1,1.0,0.9999999999085724,0.0,0.8929723820008264,1.0,0.0
full_nl_seed0,lstm,CARLA,21,1,90.31730047763197,4.360079717384653,0.263,0.0,0.26,1.0263771052991286,26,1,1.0,0.9999999999577223,0.0,0.8874856105002772,1.0,0.0
full_nl_seed0,lstm,CARLA,22,1,85.91443267644898,4.36838611700428,0.261,0.0,0.26,1.0575917638597911,26,1,1.0,0.9999999999773745,0.0,0.891726217060834,1.0,0.0
