benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,horizon,t0,t_label,label_horizon
full_nl_seed1,lstm,CARLA,0,1,6.570088329649699,1.413721196409469,0.952,0.0,0.95,0.8587236209463944,0.9548620878514746,95,0,1.0,0.9999999990878936,0.0,0.8872217461009495,1.0,0.0,5,95,99,4
full_nl_seed1,lstm,CARLA,1,1,6.483854038590393,1.1636663089177162,0.951,0.0,0.95,0.835253404684584,0.9894049814494473,95,0,1.0,0.9999999972710624,0.0,0.8894547663839109,1.0,0.0,5,95,99,4
full_nl_seed1,lstm,CARLA,2,1,5.733216568303451,1.2145822162654027,0.952,0.0,0.95,0.8301438703294409,0.9893775451183575,95,0,1.0,0.9999999953222645,0.0,0.8968613325139321,1.0,0.0,5,95,99,4
full_nl_seed1,lstm,CARLA,3,1,6.008393523098236,1.1437382745362312,0.952,0.0,0.95,0.7244834621665794,0.9620505631176991,95,0,1.0,0.9999999971970465,0.0,0.9040813387636951,1.0,0.0,5,95,99,4
full_nl_seed1,lstm,CARLA,4,1,5.146282018831303,1.0044143233954144,0.951,0.0,0.95,0.8979768093881942,0.9471828593415089,95,0,1.0,0.9999999963983272,0.0,0.9343599293258732,1.0,0.0,5,95,99,4
full_nl_seed1,lstm,CARLA,5,1,3.5411678082648606,0.7684075222475338,0.954,0.0,0.95,1.2747939266514638,0.9618151037275141,95,0,1.0,0.999999998710187,0.0,0.9360682455370449,1.0,0.0,5,95,99,4
full_nl_seed1,lstm,CARLA,6,1,7.46974825790731,1.857045479459603,0.955,0.0,0.95,0.9096438686312424,0.9435268516097346,95,0,1.0,0.9999999980345581,0.0,0.8630513808689589,1.0,0.0,5,95,99,4
full_nl_seed1,lstm,CARLA,7,1,5.895758251565029,1.18771640336836,0.954,0.0,0.95,0.8998950563932409,0.9659656931317068,95,0,1.0,0.9999999979970497,0.0,0.8959941191315804,1.0,0.0,5,95,99,4
full_nl_seed1,lstm,CARLA,8,1,6.751006142464864,1.3345786011760266,0.95,0.0,0.95,0.8393082056849761,0.9779970344286965,95,0,1.0,0.9999999973218057,0.0,0.9009775775270419,1.0,0.0,5,95,99,4
full_nl_seed1,lstm,CARLA,9,1,4.444754438234236,0.8742939345521955,0.955,0.0,0.95,1.0309675103290463,0.9861662802729083,95,0,1.0,0.9999999985142912,0.0,0.9148931950240791,1.0,0.0,5,95,99,4
full_nl_seed1,lstm,PearlCARLA,0,1,5.1506815217472415,1.383962528131608,0.958,0.1,0.95,0.7222533173396775,0.9930336121939783,95,0,0.0,0.8872216001100788,1.0,0.999999991898505,0.0,1.0,5,95,99,4
full_nl_seed1,lstm,PearlCARLA,1,1,10.213337881896958,2.6879168551693873,0.954,0.0,0.95,0.7109567778677829,0.9455730161292356,95,0,0.0,0.8894521379144262,1.0,0.9999999898229663,0.0,1.0,5,95,99,4
full_nl_seed1,lstm,PearlCARLA,2,1,1.7512084961529875,0.47059169004634277,0.963,0.1,0.95,0.7251058153702594,0.967162453506853,95,0,0.0,0.8968577192548355,1.0,0.999999988479738,0.0,1.0,5,95,99,4
full_nl_seed1,lstm,PearlCARLA,3,1,5.051454605400049,1.3317101211352618,0.953,0.0,0.95,0.7024369322586701,0.991924925705622,95,0,0.0,0.9040819884520097,1.0,0.9999999933441753,0.0,1.0,5,95,99,4
