benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_nl_seed1,lstm,CARLA,0,1,94.56505534156433,4.759620959121437,0.265,0.0,0.26,0.959346493637609,0.26471152776188706,26,1,1.0,0.9999999998592262,0.0,0.8813436654593827,1.0,0.0
full_nl_seed1,lstm,CARLA,1,1,99.53009102765148,4.754289955976094,0.264,0.0,0.26,0.9046814777879848,0.2671417373319219,26,1,1.0,0.9999999996171517,0.0,0.8749863843163928,1.0,0.0
full_nl_seed1,lstm,CARLA,2,1,107.74628077396478,5.507194994884555,0.264,0.0,0.26,0.8300899153309405,0.2581664358172029,26,1,1.0,0.9999999998390096,0.0,0.8661882823702696,1.0,0.0
full_nl_seed1,lstm,CARLA,3,1,102.03714430010425,4.933487110854406,0.263,0.0,0.26,0.8655112980276835,0.26730056994399876,26,1,1.0,0.9999999998206827,0.0,0.874086131119415,1.0,0.0
full_nl_seed1,lstm,CARLA,4,1,98.98050969526467,5.088274644134804,0.264,0.0,0.26,0.8809659771999727,0.2452349531557766,26,1,1.0,0.9999999996479616,0.0,0.8755386667755107,1.0,0.0
full_nl_seed1,lstm,CARLA,5,1,98.09634306771807,4.852688185096655,0.265,0.0,0.26,0.9463762326109018,0.2494806005177621,26,1,1.0,0.9999999997947446,0.0,0.8765963346054866,1.0,0.0
full_nl_seed1,lstm,CARLA,6,1,100.41714938475224,4.953131254612098,0.264,0.0,0.26,0.9164988339014576,0.24404183221385992,26,1,1.0,0.9999999998666694,0.0,0.8759600672361797,1.0,0.0
full_nl_seed1,lstm,CARLA,7,1,101.20546513849527,5.11590828458626,0.263,0.0,0.26,0.9121033772514319,0.24075110840119604,26,1,1.0,0.9999999998570918,0.0,0.8737222839998541,1.0,0.0
full_nl_seed1,lstm,CARLA,8,1,97.37735698035894,4.735206605937952,0.269,0.0,0.26,0.954574959468323,0.24803501587259683,26,1,1.0,0.9999999998342985,0.0,0.8781625680260327,1.0,0.0
full_nl_seed1,lstm,CARLA,9,1,105.39281570573453,5.211078408411801,0.263,0.0,0.26,0.8555913626434515,0.2604660388842906,26,1,1.0,0.9999999997868364,0.0,0.8716714246097375,1.0,0.0
full_nl_seed1,lstm,CARLA,10,1,103.49816426796052,5.094441959583355,0.26,0.0,0.26,0.9164309329055365,0.2163035498138386,26,1,1.0,0.9999999995961227,0.0,0.8702614641252988,1.0,0.0
full_nl_seed1,lstm,CARLA,11,1,98.85204146365625,4.966967475960351,0.267,0.0,0.26,0.8867175591992676,0.2708278401641599,26,1,1.0,0.9999999997996751,0.0,0.8785949932922504,1.0,0.0
full_nl_seed1,lstm,CARLA,12,1,103.02593001171424,5.104565935153286,0.264,0.0,0.26,0.8252589274676855,0.23378485691135364,26,1,1.0,0.999999999846941,0.0,0.8713636572182399,1.0,0.0
full_nl_seed1,lstm,CARLA,13,1,101.09744007110606,4.985436101619705,0.262,0.0,0.26,0.8856095676223795,0.23894808576442012,26,1,1.0,0.9999999997774229,0.0,0.8731095568602745,1.0,0.0
full_nl_seed1,lstm,CARLA,14,1,100.73513338214518,4.925918104764018,0.265,0.0,0.26,0.9028842626979016,0.2608904661109132,26,1,1.0,0.9999999998122877,0.0,0.8750554728940991,1.0,0.0
full_nl_seed1,lstm,CARLA,15,1,106.11390959276932,5.270514443975492,0.267,0.0,0.26,0.8581063473950667,0.254867505372339,26,1,1.0,0.9999999996176302,0.0,0.8680361626069872,1.0,0.0
full_nl_seed1,lstm,CARLA,16,1,100.320115132361,4.9361488089568155,0.263,0.0,0.26,0.8835225502143951,0.2560898024402573,26,1,1.0,0.9999999998261329,0.0,0.8752827093918149,1.0,0.0
full_nl_seed1,lstm,CARLA,17,1,95.18718542063405,4.7506367886695955,0.267,0.0,0.26,0.8868826125459622,0.2610937862144652,26,1,1.0,0.9999999996364171,0.0,0.880571702758615,1.0,0.0
full_nl_seed1,lstm,CARLA,18,1,95.67744449281793,4.74197825638608,0.266,0.0,0.26,0.8979453438304892,0.2555749253377119,26,1,1.0,0.999999999713423,0.0,0.8800549061200772,1.0,0.0
full_nl_seed1,lstm,CARLA,19,1,104.22230987929541,4.952325142496298,0.266,0.0,0.26,0.8273640902809055,0.23234108343022947,26,1,1.0,0.9999999998691107,0.0,0.8691412304259005,1.0,0.0
full_nl_seed1,lstm,CARLA,20,1,92.83690023624368,4.532646412411516,0.262,0.0,0.26,0.8936383211993859,0.26534479771180186,26,1,1.0,0.9999999999014244,0.0,0.8831076381627414,1.0,0.0
full_nl_seed1,lstm,CARLA,21,1,97.31368167258995,4.708655533884053,0.26,0.0,0.26,0.9148140228164665,0.2611046859811559,26,1,1.0,0.9999999996999961,0.0,0.8789238397947636,1.0,0.0
full_nl_seed1,lstm,CARLA,22,1,98.89985647189096,4.8102838078602,0.263,0.0,0.26,0.9578013923287629,0.2683217020650875,26,1,1.0,0.9999999998909724,0.0,0.8766182602787536,1.0,0.0
full_nl_seed1,lstm,CARLA,23,1,102.58895581463928,4.918798380698662,0.263,0.0,0.26,0.8742377194217337,0.25887542919763495,26,1,1.0,0.9999999998774148,0.0,0.874218101024006,1.0,0.0
full_nl_seed1,lstm,CARLA,24,1,100.11804080296989,4.712158483835542,0.264,0.0,0.26,0.9155957673839635,0.26877897130227435,26,1,1.0,0.9999999998466881,0.0,0.8763635106848111,1.0,0.0
full_nl_seed1,lstm,CARLA,25,1,98.81469502070198,4.9027923719165925,0.262,0.0,0.26,0.8670536034414559,0.23757996188113684,26,1,1.0,0.999999999921338,0.0,0.876807084551219,1.0,0.0
full_nl_seed1,lstm,CARLA,26,1,102.57752993909159,5.055326840827098,0.267,0.0,0.26,0.8717010844891168,0.25686043614960963,26,1,1.0,0.9999999995352623,0.0,0.8734150918234523,1.0,0.0
full_nl_seed1,lstm,CARLA,27,1,109.44058897168952,5.3690617569594306,0.268,0.0,0.26,0.8046367152560352,0.24127293254292737,26,1,1.0,0.9999999998727792,0.0,0.863362566049767,1.0,0.0
full_nl_seed1,lstm,CARLA,28,1,94.48405770427834,4.605027397761114,0.262,0.0,0.26,0.905155626374142,0.2301653176605738,26,1,1.0,0.9999999998152026,0.0,0.8807562048829711,1.0,0.0
full_nl_seed1,lstm,CARLA,29,1,91.6536777166908,4.429382803457517,0.262,0.0,0.26,0.9143073166647628,0.2508275022668772,26,1,1.0,0.9999999995537467,0.0,0.8851611862945639,1.0,0.0
full_nl_seed1,lstm,CARLA,30,1,100.19919862655412,4.894138614945988,0.266,0.0,0.26,0.9322784996460228,0.24450302822927034,26,1,1.0,0.9999999995216459,0.0,0.8761649591127691,1.0,0.0
full_nl_seed1,lstm,CARLA,31,1,94.39624026325734,4.668605938799153,0.266,0.0,0.26,0.9618413865580298,0.22856620294067242,26,1,1.0,0.9999999998800555,0.0,0.8818456234452714,1.0,0.0
full_nl_seed1,lstm,CARLA,32,1,100.71837530753862,5.005697855749581,0.265,0.0,0.26,0.9033885750292799,0.24781849592222446,26,1,1.0,0.9999999998803069,0.0,0.8740149492113521,1.0,0.0
full_nl_seed1,lstm,CARLA,33,1,97.35846783563751,4.886666298693365,0.264,0.0,0.26,0.9351887710860527,0.2506828399271917,26,1,1.0,0.9999999998789455,0.0,0.8788656802068527,1.0,0.0
full_nl_seed1,lstm,CARLA,34,1,104.82114770945508,5.153302558166822,0.263,0.0,0.26,0.8827668015282997,0.24959130846502173,26,1,1.0,0.9999999996941354,0.0,0.8699308262073727,1.0,0.0
full_nl_seed1,lstm,CARLA,35,1,96.58635569146041,4.744819587168867,0.263,0.0,0.26,0.9991030488232042,0.2491446170888255,26,1,1.0,0.9999999996692617,0.0,0.8791256549682873,1.0,0.0
full_nl_seed1,lstm,CARLA,36,1,97.24554621238562,4.8031519729275605,0.261,0.0,0.26,0.9651303513045877,0.25749897399760646,26,1,1.0,0.9999999998733518,0.0,0.8782291910261677,1.0,0.0
full_nl_seed1,lstm,CARLA,37,1,105.08001311962107,5.284922881423678,0.264,0.0,0.26,0.8462508584193564,0.2644542981908816,26,1,1.0,0.9999999999020129,0.0,0.8692038964525235,1.0,0.0
full_nl_seed1,lstm,CARLA,38,1,99.31384371660548,4.909514598224608,0.267,0.0,0.26,0.9424030110176991,0.23424684654953373,26,1,1.0,0.9999999998918401,0.0,0.8772185104584539,1.0,0.0
full_nl_seed1,lstm,CARLA,39,1,102.06203723583408,5.017034841207529,0.265,0.0,0.26,0.8542048126091207,0.234461751049693,26,1,1.0,0.9999999998979894,0.0,0.8714463758275902,1.0,0.0
full_nl_seed1,lstm,CARLA,40,1,97.73300308555073,4.846752649102806,0.26,0.0,0.26,0.8796424880099699,0.2477709099675666,26,1,1.0,0.9999999998912892,0.0,0.8772332767507487,1.0,0.0
full_nl_seed1,lstm,CARLA,41,1,98.8553987216587,4.891411480876786,0.267,0.0,0.26,0.9239341127596443,0.24828860291886487,26,1,1.0,0.9999999997391938,0.0,0.8758312327425115,1.0,0.0
full_nl_seed1,lstm,CARLA,42,1,102.44199952246483,5.146767989480587,0.265,0.0,0.26,0.9105915608042066,0.2394535325233484,26,1,1.0,0.9999999995747999,0.0,0.871582839317539,1.0,0.0
full_nl_seed1,lstm,CARLA,43,1,93.36460842767555,4.591365937401431,0.263,0.0,0.26,0.9864779352811567,0.2487930486566648,26,1,1.0,0.9999999998319792,0.0,0.8839661188929427,1.0,0.0
full_nl_seed1,lstm,CARLA,44,1,99.75499562664726,4.800769420123298,0.264,0.0,0.26,0.8892672604402477,0.23948249682641476,26,1,1.0,0.999999999865119,0.0,0.8746715039193341,1.0,0.0
full_nl_seed1,lstm,CARLA,45,1,105.17567144596005,5.270865897811261,0.266,0.0,0.26,0.8448275691746475,0.28417346539873617,26,1,1.0,0.999999999599279,0.0,0.8691236425755435,1.0,0.0
full_nl_seed1,lstm,CARLA,46,1,97.53555250790251,4.662308038080639,0.263,0.0,0.26,0.889945834753381,0.26000200198291284,26,1,1.0,0.9999999998786737,0.0,0.8778225421210827,1.0,0.0
full_nl_seed1,lstm,CARLA,47,1,99.68026132694614,4.969641519905263,0.269,0.0,0.26,0.875879975596161,0.2558309240704987,26,1,1.0,0.9999999998244197,0.0,0.876919771368204,1.0,0.0
full_nl_seed1,lstm,CARLA,48,1,106.42715560088459,5.242540389483985,0.261,0.0,0.26,0.8660602229904744,0.2530521782218097,26,1,1.0,0.9999999998447131,0.0,0.8687817197619874,1.0,0.0
full_nl_seed1,lstm,CARLA,49,1,96.90540369344232,4.719544011038996,0.262,0.0,0.26,0.9432246465211606,0.27357033986252155,26,1,1.0,0.9999999997018292,0.0,0.8778687078459436,1.0,0.0
full_nl_seed1,lstm,CftsCels,0,1,0.20671970520241595,0.18476681812299717,0.995,0.8,0.97,0.9825275499797745,0.9927041560558236,97,0,0.0,0.9556893763857766,0.0,0.9934704436822452,0.0,0.0
full_nl_seed1,lstm,CftsCels,1,0,8.763954395540419e-05,8.113448176627957e-05,1.0,1.0,1.0,2.0107790241419474,0.9704698878646172,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed1,lstm,CftsCels,2,1,0.025833623352026866,0.013985040153539777,0.996,0.6,0.99,0.9849880175671581,0.9727548908219971,99,0,nan,nan,nan,nan,0.0,0.0
full_nl_seed1,lstm,CftsCels,3,1,0.17058948662392268,0.1367212717280443,0.99,0.6,0.96,0.9668942962455066,0.9994143087307682,96,0,0.0,0.9108381599736,0.0,0.9960466044535357,0.0,0.0
full_nl_seed1,lstm,CftsCels,4,1,0.095042111503926,0.0823306851520575,0.998,0.9,0.98,0.9606180006899716,0.9782053757535916,98,0,0.0,0.9635083555143202,0.0,0.9958509688112801,0.0,0.0
full_nl_seed1,lstm,CftsCels,5,1,0.07117852740293525,0.05575533374338388,0.996,0.9,0.96,1.0339648517245867,0.9946884060056554,96,0,0.0,0.9231425982027356,0.0,0.9983148517054486,0.0,0.0
full_nl_seed1,lstm,CftsCels,6,0,2.825490961896925e-06,1.4430723182714254e-07,1.0,1.0,1.0,1.4837525800392053,0.9995834088019866,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed1,lstm,CftsCels,7,1,0.1510595818396471,0.11841418330536169,0.994,0.6,0.98,0.9182773134591442,0.9911610459900766,98,0,0.0,0.9419499700066966,0.0,0.9938186391539211,0.0,0.0
full_nl_seed1,lstm,CftsCels,8,0,6.551261726121154e-05,4.451465122862556e-05,1.0,1.0,1.0,1.428050148542839,0.9823945055444996,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed1,lstm,CftsCels,9,1,0.12404975997938461,0.1062583949658204,0.996,0.8,0.98,0.9759509583768522,0.976779529503721,98,0,0.0,0.9508177712663056,0.0,0.9945645531135239,0.0,0.0
full_nl_seed1,lstm,CftsCels,10,1,0.14264933369256333,0.12334073765240872,0.994,0.6,0.97,0.9457594001436386,0.9852243076344334,97,0,0.0,0.9222826671380953,0.0,0.9955349590614061,0.0,0.0
full_nl_seed1,lstm,CftsCels,11,1,0.06375746836098369,0.052458517030552786,0.998,0.8,0.98,0.9990013990276694,0.998459202113611,98,0,0.0,0.9553373364883296,0.0,0.99721151188636,0.0,0.0
full_nl_seed1,lstm,CftsCels,12,0,2.960329330316258e-06,1.4773828401526414e-07,1.0,1.0,1.0,1.461712128126857,0.9674232176112699,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed1,lstm,CftsCels,13,1,0.20214662327768484,0.17143632853615304,0.985,0.3,0.94,0.9814720566557615,0.9830892772340497,94,0,0.0,0.8973937680627346,0.0,0.9966977001772714,0.0,0.0
full_nl_seed1,lstm,CftsCels,14,1,0.2018660461105266,0.17000903882522306,0.994,0.7,0.96,0.897246522041063,0.9770309870124876,96,0,0.0,0.9240491113630224,0.0,0.9951270371743841,0.0,0.0
full_nl_seed1,lstm,CftsCels,15,1,0.18616440067850937,0.14511244249920463,0.995,0.7,0.97,1.1059879378626545,0.9799319214424054,97,0,0.0,0.9337969214027227,0.0,0.9942430732437371,0.0,0.0
full_nl_seed1,lstm,CftsCels,16,0,2.9928163503038178e-06,1.9463195648731893e-07,1.0,1.0,1.0,1.4746719227866807,0.9973225508275235,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed1,lstm,CftsCels,17,0,8.815284175235118e-05,6.211688057062286e-05,1.0,1.0,1.0,2.0108730666154893,0.9854694116235199,99,1,nan,nan,nan,nan,0.0,0.0
