benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,horizon,t0,t_label,label_horizon
full_seed1,lstm,CARLA,0,1,6.754901715007922,1.3709660004358408,0.954,0.0,0.95,1.1467145696409224,95,0,1.0,0.9999999964971383,0.0,0.8830596417324507,1.0,0.0,5,95,99,4
full_seed1,lstm,CARLA,1,1,5.456138906352644,1.0661822052113203,0.951,0.0,0.95,1.3213835633546898,95,0,1.0,0.9999999916905772,0.0,0.9239321447188393,1.0,0.0,5,95,99,4
full_seed1,lstm,CARLA,2,1,6.302309034788877,1.1878424402776282,0.953,0.0,0.95,1.2853289479137828,95,0,1.0,0.9999999967347241,0.0,0.8941953298502138,1.0,0.0,5,95,99,4
full_seed1,lstm,CARLA,3,1,7.55514834456146,1.4107328847574818,0.953,0.0,0.95,1.377917785435969,95,0,1.0,0.9999999961873377,0.0,0.8733239247909028,1.0,0.0,5,95,99,4
full_seed1,lstm,CARLA,4,1,6.990004438117036,1.3683467793721675,0.95,0.0,0.95,1.5076610086569593,95,0,1.0,0.9999999960651823,0.0,0.9057385872785326,1.0,0.0,5,95,99,4
full_seed1,lstm,CARLA,5,1,7.6647814509845205,1.590482825274192,0.95,0.0,0.95,1.2983720877187666,95,0,1.0,0.9999999977592846,0.0,0.8715954602892477,1.0,0.0,5,95,99,4
full_seed1,lstm,CARLA,6,1,9.474945520532176,1.7691635518350546,0.95,0.0,0.95,1.518886901961111,95,0,1.0,0.999999993766937,0.0,0.8689431376507277,1.0,0.0,5,95,99,4
full_seed1,lstm,CARLA,7,1,7.239557809382772,1.4110829341417688,0.953,0.0,0.95,1.4604294368581787,95,0,1.0,0.9999999971335565,0.0,0.8960149722026173,1.0,0.0,5,95,99,4
full_seed1,lstm,CARLA,8,1,6.22282684443697,1.245210737036612,0.953,0.0,0.95,1.2127312875821286,95,0,1.0,0.9999999980664573,0.0,0.8910229308131439,1.0,0.0,5,95,99,4
full_seed1,lstm,CARLA,9,1,6.064304213278278,1.1962131494700665,0.956,0.0,0.95,1.300684165332166,95,0,1.0,0.9999999965753293,0.0,0.8869077494062566,1.0,0.0,5,95,99,4
