benchmark,classifier,method,instance,validity,no_cf_found,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,do_complexity,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,cf_faith_rollout_hard_given_valid,cf_faith_pearl_hard_given_valid
full,lstm,CftsCOMTE,0,1,0,29.726109647083003,3.982714375523173,0.9,0.9,0.0,1.4097191949947645,0.6652183710406767,0,0,100,0.0,0.7816660911986314,0.0,0.9643288829702776,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,1,1,0,29.627862953064298,3.4987359553944795,0.901,0.9,0.01,1.4284167843925655,0.6754132706403193,0,0,100,0.0,0.7561278598583823,0.0,0.958851817710506,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,2,1,0,34.80537377714127,4.494410519511135,0.9,0.9,0.0,1.6238517849508352,0.6283355424235385,0,0,100,0.0,0.7337894239905137,0.0,0.9539578706116207,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,3,1,0,31.72195540477748,3.8973499354506074,0.9,0.9,0.0,1.4628831328795198,0.646652895878888,0,0,100,0.0,0.7500657964233408,0.0,0.958024157546787,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,4,1,0,31.1424657369518,3.8439766158065427,0.901,0.9,0.01,1.354047388596425,0.6659144953829269,0,0,100,0.0,0.7713410067030587,0.0,0.9655788669914893,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,5,1,0,30.497457270017385,3.7869496483012806,0.9,0.9,0.0,1.4607017866063177,0.667851624478892,0,0,100,0.0,0.7780754502813791,0.0,0.9576537037582182,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,6,1,0,28.218956433050565,3.640916997732543,0.9,0.9,0.0,1.5755256518012677,0.6803287520604362,0,0,100,0.0,0.7834772167327979,0.0,0.9598706378127008,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,7,1,0,28.18900161277714,3.5966046517858743,0.9,0.9,0.0,1.4801877680269822,0.6909529507709089,0,0,100,0.0,0.791535389691301,0.0,0.9685344256172569,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,8,1,0,34.03822899535545,4.2250520603330095,0.9,0.9,0.0,1.3818279451591946,0.62406189822565,0,0,100,0.0,0.759321106388831,0.0,0.9626882905132319,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,9,1,0,30.303893063656993,3.853839065830689,0.9,0.9,0.0,1.3973470426904633,0.6284047579961122,0,0,100,0.0,0.7370747861216734,0.0,0.9652653159776557,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,10,1,0,29.62135197283014,3.741162268521345,0.9,0.9,0.0,1.3386920215168765,0.6621040369887573,0,0,100,0.0,0.7827029507195651,0.0,0.960088354151533,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,11,1,0,29.321309180594923,3.7948237130482156,0.9,0.9,0.0,1.3651743217743717,0.6438765219224731,0,0,100,0.0,0.7636634702425844,0.0,0.9699994769685589,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,12,1,0,27.542884012611104,3.56450577096846,0.9,0.9,0.0,1.569244182912853,0.6955445650488296,0,0,100,0.0,0.7981379855296014,0.0,0.9670389850034772,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,13,1,0,31.44463517284561,3.738627864231826,0.9,0.9,0.0,1.3305346103198554,0.6498871540162063,0,0,100,0.0,0.7452990202779589,0.0,0.9625305684842138,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,14,1,0,33.09786186619864,3.9885637210269915,0.901,0.9,0.01,1.4095217129223216,0.638762466103478,0,0,100,0.0,0.7606499406321326,0.0,0.9547149694277529,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,15,1,0,34.735423203239606,4.217625901759719,0.901,0.9,0.01,1.6531176572663377,0.6323551422804066,0,0,100,0.0,0.7777070731364905,0.0,0.9632910354323537,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,16,1,0,31.305198003201895,3.8001765759504202,0.9,0.9,0.0,1.577128363463726,0.6562371336126813,0,0,100,0.0,0.7682909274352955,0.0,0.9670050750357952,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,17,1,0,28.022950525742566,3.414242162287775,0.9,0.9,0.0,1.4535909885285965,0.6836524891192518,0,0,100,0.0,0.785836520454294,0.0,0.9591574396025279,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,18,1,0,33.09868932726318,4.2333968856109525,0.9,0.9,0.0,1.6885480491173317,0.6601804835671372,0,0,100,0.0,0.7830559686293018,0.0,0.9622175610776716,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,19,1,0,30.529845871008433,3.8145619265844863,0.9,0.9,0.0,1.5443239775116326,0.6770389559017099,0,0,100,0.0,0.7996334225945966,0.0,0.9639446624401792,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,20,1,0,33.938469482792584,4.268390206520257,0.901,0.9,0.01,1.3506364346613366,0.6283661421171054,0,0,100,0.0,0.7567554102857575,0.0,0.948405736659976,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,21,1,0,28.422331744598345,3.508612301401457,0.9,0.9,0.0,1.47806023575927,0.6869965688781728,0,0,100,0.0,0.780678658770924,0.0,0.9631620803200188,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,22,1,0,30.497710031764317,3.682743135099014,0.9,0.9,0.0,1.368872251359191,0.6668951689500967,0,0,100,0.0,0.7921746332254824,0.0,0.9589528062586942,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,23,1,0,32.98191793588588,4.042145253267277,0.9,0.9,0.0,1.421984694934408,0.6257538705948262,0,0,100,0.0,0.7541653394646599,0.0,0.9613634532278529,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,24,1,0,32.95775235230363,4.142677105612542,0.9,0.9,0.0,1.529712184703914,0.6394228895133931,0,0,100,0.0,0.7645070277134932,0.0,0.9510868855148205,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,25,1,0,29.055327525667494,3.647647285104909,0.9,0.9,0.0,1.5506030783750369,0.6682207383141734,0,0,100,0.0,0.7655950352086678,0.0,0.9645667139054752,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,26,1,0,27.844773164492594,3.502858094716658,0.9,0.9,0.0,1.5055419517203876,0.6780846492114636,0,0,100,0.0,0.7799152677872486,0.0,0.967937184444063,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,27,1,0,32.99346540634723,4.2979269670727485,0.901,0.9,0.01,1.5210676187799381,0.6556268941672061,0,0,100,0.0,0.7599826582013194,0.0,0.9629230698496125,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,28,1,0,31.550924382079344,3.8213873392046973,0.9,0.9,0.0,1.4030803054263956,0.6700140185915885,0,0,100,0.0,0.7860271879835435,0.0,0.9656692084662072,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,29,1,0,28.8906057583417,3.4946869186765355,0.9,0.9,0.0,1.3749995616926045,0.6650742470067631,0,0,100,0.0,0.7730274989471567,0.0,0.9694330774220805,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,30,1,0,28.74096669600494,3.381941115214171,0.9,0.9,0.0,1.4251058844589386,0.6709474220440174,0,0,100,0.0,0.7662993032247913,0.0,0.9688887039302241,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,31,1,0,28.31747764281863,3.5199316481334204,0.901,0.9,0.01,1.4241367667948317,0.6681691850379688,0,0,100,0.0,0.7711528697055219,0.0,0.9628217529506364,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,32,1,0,28.47083792636728,3.6023743698319977,0.9,0.9,0.0,1.6090175508055977,0.6816443656374221,0,0,100,0.0,0.7885567993716862,0.0,0.9710846974810993,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,33,1,0,25.301136031478393,3.190142522731158,0.9,0.9,0.0,1.4338005894001438,0.742094846456856,0,0,100,0.0,0.7874880228449574,0.0,0.9711594620131363,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,34,1,0,29.664658837100035,3.7612668799409756,0.9,0.9,0.0,1.5181688473616721,0.6453896885581113,0,0,100,0.0,0.7787970413216944,0.0,0.9653965619293987,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,35,1,0,28.6708742424088,3.4858765384984087,0.9,0.9,0.0,1.5032980193730017,0.6694362790273223,0,0,100,0.0,0.7873097524430364,0.0,0.9688808439806673,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,36,1,0,30.464154576650365,3.64023839205905,0.9,0.9,0.0,1.4755822332570485,0.6514423939096226,0,0,100,0.0,0.7825196630799889,0.0,0.9666739951517892,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,37,1,0,27.996705994501095,3.4101911782397605,0.9,0.9,0.0,1.340479919314145,0.6808237028570654,0,0,100,0.0,0.792820977406934,0.0,0.9627126030320311,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,38,1,0,27.179089483916783,3.4755727355495756,0.901,0.9,0.01,1.4330449962191956,0.6960979292886865,0,0,100,0.0,0.7734641544278494,0.0,0.9706577753864205,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,39,1,0,32.01188099696567,3.9221810324256445,0.9,0.9,0.0,1.5033888719517337,0.6412634080053017,0,0,100,0.0,0.7607150768269486,0.0,0.9524826182534202,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,40,1,0,30.075100791863434,3.6043553446997056,0.9,0.9,0.0,1.4281925718823052,0.6511805648922395,0,0,100,0.0,0.7554907679998827,0.0,0.9655439490096165,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,41,1,0,30.33009575798197,3.892187085588623,0.9,0.9,0.0,1.5015694004981954,0.6821148711289744,0,0,100,0.0,0.7830588963261403,0.0,0.9665330291503293,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,42,1,0,32.916286797880346,4.148790859290625,0.9,0.9,0.0,1.4209601927801516,0.640465038462976,0,0,100,0.0,0.7813174294620229,0.0,0.9615457429024074,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,43,1,0,31.895674437547417,3.8795496448576823,0.901,0.9,0.01,1.474367873844559,0.6659056209825922,0,0,100,0.0,0.771697992986997,0.0,0.9645407174715614,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,44,1,0,29.435560306124714,3.6879889517586393,0.9,0.9,0.0,1.4921733722300876,0.671941148480583,0,0,100,0.0,0.7604919154639944,0.0,0.9691227781740791,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,45,1,0,29.52210696554462,3.908484641967769,0.9,0.9,0.0,1.531792718091913,0.6786490328860917,0,0,100,0.0,0.7746302022082184,0.0,0.9708322803405632,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,46,1,0,31.754610476356017,3.9883966228732883,0.9,0.9,0.0,1.5171171142468267,0.6424609674250508,0,0,100,0.0,0.7734654365241742,0.0,0.9676791792608527,0.0,0.0,0.0,0.0
full,lstm,CftsCOMTE,47,1,0,30.766413725828986,4.031380215784957,0.9,0.9,0.0,1.5138246671959172,0.6456005448592269,0,0,100,0.0,0.7751557604251891,0.0,0.9605761751320477,0.0,0.0,0.0,0.0
