benchmark,classifier,method,instance,validity,no_cf_found,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,do_complexity,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,cf_faith_rollout_hard_given_valid,cf_faith_pearl_hard_given_valid
full,oracle,OracleCF-Pearl,0,0,0,34.093137012659625,4.300357447445164,0.585,0.0,0.5,1.5596695956034428,0.9918264943532259,50,0,1,0.0,0.7693758011998245,1.0,0.999999993436957,0.0,0.0,,
full,oracle,OracleCF-Pearl,1,1,0,25.050157537756313,3.3287626989647876,0.59,0.0,0.5,1.2787621772001234,0.9979448651589087,50,0,1,0.0,0.7862710957280639,1.0,0.9999999944157973,0.0,1.0,0.0,1.0
full,oracle,OracleCF-Pearl,2,0,0,1.500006152156882,1.4999999495395793,0.999,0.9,0.99,2.0202009185800907,0.9875532566781081,50,0,1,0.0,0.7681219809076036,1.0,0.9999999933161955,0.0,0.0,,
full,oracle,OracleCF-Pearl,3,1,0,20.247569498943047,2.5397532108638807,0.569,0.0,0.5,1.5339156520323103,0.9641841443717263,50,0,1,0.0,0.7800849080794008,1.0,0.9999999938426195,0.0,1.0,0.0,1.0
full,oracle,OracleCF-Pearl,4,0,0,37.70740179252465,4.407198288151338,0.568,0.0,0.5,1.5651708594089322,0.9981791920358579,50,0,1,0.0,0.7455886630224078,1.0,0.9999999918564655,0.0,0.0,,
full,oracle,OracleCF-Pearl,5,0,0,27.98973718287244,3.530416741983262,0.577,0.0,0.5,1.2514362197869535,0.9623038688392338,50,0,1,0.0,0.7584965087445499,1.0,0.9999999925779297,0.0,0.0,,
full,oracle,OracleCF-Pearl,6,1,0,21.217694225053958,2.893632825856067,0.575,0.0,0.5,1.5201811161988448,0.9975543280213559,50,0,1,0.0,0.7780412619187449,1.0,0.9999999936452624,0.0,1.0,0.0,1.0
full,oracle,OracleCF-Pearl,7,1,0,38.503387669795266,4.388068102250146,0.548,0.0,0.5,1.6601387860153531,0.9585214256338933,50,0,1,0.0,0.7516881889220911,1.0,0.9999999923672213,0.0,1.0,0.0,1.0
full,oracle,OracleCF-Pearl,8,0,0,47.96111183158493,5.240328609587669,0.53,0.0,0.5,1.5032084949448727,0.9765638124889072,50,0,1,0.0,0.7955037101715381,1.0,0.9999999927247974,0.0,0.0,,
full,oracle,OracleCF-Pearl,9,0,0,39.19717413225602,4.442784301600105,0.57,0.0,0.5,1.6835411994667706,0.9733512384357224,50,0,1,0.0,0.7815462730521682,1.0,0.9999999932763133,0.0,0.0,,
full,oracle,OracleCF-Pearl,10,0,0,34.09313694364449,4.300357448033498,0.585,0.0,0.5,1.5596695851562925,0.9860056170138711,50,0,1,0.0,0.7887146093729174,1.0,0.9999999924137117,0.0,0.0,,
full,oracle,OracleCF-Pearl,11,1,0,25.05015798437638,3.328762756877475,0.59,0.0,0.5,1.2787621857171292,0.9685002335457683,50,0,1,0.0,0.7866716329523188,1.0,0.9999999939944548,0.0,1.0,0.0,1.0
full,oracle,OracleCF-Pearl,12,0,0,1.500005479082459,1.5000000222284076,0.999,0.9,0.99,2.020200978926894,0.9690750861321775,50,0,1,0.0,0.7849755851098364,1.0,0.9999999947226544,0.0,0.0,,
full,oracle,OracleCF-Pearl,13,1,0,20.247569648701166,2.5397532760244412,0.569,0.0,0.5,1.533915661512613,0.9589212742052815,50,0,1,0.0,0.7793957817548739,1.0,0.9999999932835503,0.0,1.0,0.0,1.0
full,oracle,OracleCF-Pearl,14,1,0,37.7073997129588,4.407198287950823,0.568,0.0,0.5,1.5651708711935768,0.9783266659648504,50,0,1,0.0,0.7645791974531762,1.0,0.999999993179039,0.0,1.0,0.0,1.0
full,oracle,OracleCF-Pearl,15,0,0,27.98973763935437,3.5304167217937152,0.577,0.0,0.5,1.251436228645701,0.9849838776914723,50,0,1,0.0,0.7645801085478765,1.0,0.9999999933196265,0.0,0.0,,
full,oracle,OracleCF-Pearl,16,0,0,21.217694478011182,2.8936327933242865,0.575,0.0,0.5,1.520181115074107,0.9561900642004245,50,0,1,0.0,0.7157295490084162,1.0,0.9999999915897825,0.0,0.0,,
full,oracle,OracleCF-Pearl,17,1,0,38.50338744718711,4.388068088670611,0.548,0.0,0.5,1.6601387916148829,0.9775639050083041,50,0,1,0.0,0.7966963604488617,1.0,0.9999999939453758,0.0,1.0,0.0,1.0
full,oracle,OracleCF-Pearl,18,1,0,47.96111110948905,5.24032855802513,0.53,0.0,0.5,1.5032085035496956,0.9745642155373233,50,0,1,0.0,0.7774648402923946,1.0,0.9999999923771405,0.0,1.0,0.0,1.0
full,oracle,OracleCF-Pearl,19,0,0,39.19717423384122,4.442784348579779,0.57,0.0,0.5,1.6835412015003433,0.9525190788553104,50,0,1,0.0,0.7826862804042047,1.0,0.9999999930950807,0.0,0.0,,
