benchmark,classifier,method,instance,validity,no_cf_found,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,do_complexity,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,cf_faith_rollout_hard_given_valid,cf_faith_pearl_hard_given_valid
full_nl,oracle,OracleCF-Pearl,0,0,0,4.11498493219554,1.627731987495075,0.94,0.1,0.88,1.4117825921808977,0.985238621249064,50,0,1,0.0,0.8728916301339046,1.0,0.9999999740250535,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,1,1,0,2.093913841157681,1.5634416847488315,0.993,0.8,0.94,1.4505611566964174,0.9836224460147899,50,0,1,0.0,0.8971326765963857,1.0,0.9999999623397952,0.0,1.0,0.0,1.0
full_nl,oracle,OracleCF-Pearl,2,0,0,1.9567340383793563,1.54260790402015,0.994,0.9,0.94,1.548673288323647,0.9527942418391527,50,0,1,0.0,0.8475194185844225,1.0,0.999999973838747,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,3,1,0,2.029139407750847,1.5428076599129152,0.984,0.6,0.92,1.5310005090761976,0.9482200140559564,50,0,1,0.0,0.8790960765208997,1.0,0.999999977337761,0.0,1.0,0.0,1.0
full_nl,oracle,OracleCF-Pearl,4,0,0,4.200210902628017,1.784551739233057,0.96,0.1,0.91,1.430011306384668,0.9491101678412293,50,0,1,0.0,0.8879262118731714,1.0,0.9999999633763947,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,5,0,0,3.3908824033490252,1.7817050646538004,0.977,0.5,0.93,1.3233347495623968,0.9969837422941167,50,0,1,0.0,0.899391147036217,1.0,0.9999999604587372,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,6,1,0,3.458194911936732,1.685977840579109,0.972,0.5,0.89,1.2245060698051133,0.9890114004681847,50,0,1,0.0,0.8897303421434188,1.0,0.9999999759341689,0.0,1.0,0.0,1.0
full_nl,oracle,OracleCF-Pearl,7,1,0,4.003840673883961,2.0861178736116774,0.977,0.5,0.93,1.3664932021258034,0.9565573146203697,50,0,1,0.0,0.8927156458804718,1.0,0.999999961069871,0.0,1.0,0.0,1.0
full_nl,oracle,OracleCF-Pearl,8,0,0,15.154691563580744,4.253656193547393,0.901,0.0,0.84,1.2239007267742728,0.977502592988623,50,0,1,0.0,0.8509888739389817,1.0,0.9999999751996249,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,9,0,0,5.726204493579001,1.824542744936789,0.922,0.0,0.85,1.1410052119280534,0.9998428766722881,50,0,1,0.0,0.5346887572108506,1.0,0.9999999707057636,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,10,0,0,2.289614618366059,1.521330692954834,0.95,0.1,0.87,1.6391756623933653,0.9993439375488528,50,0,1,0.0,0.890509658778299,1.0,0.9999999748749264,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,11,1,0,2.8533645124688363,1.5772804378733944,0.957,0.3,0.88,1.3829409933107155,0.9896941658791221,50,0,1,0.0,0.8751421110491003,1.0,0.9999999756836128,0.0,1.0,0.0,1.0
full_nl,oracle,OracleCF-Pearl,12,0,0,1.9567475065241486,1.5426080394235755,0.994,0.9,0.94,1.5486728457207544,0.9290338630764075,50,0,1,0.0,0.8869364284564306,1.0,0.9999999616895198,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,13,1,0,2.392579678544396,1.551593200430451,0.971,0.3,0.92,1.4716843247382212,0.9922250363691156,50,0,1,0.0,0.8738149928424518,1.0,0.9999999747727568,0.0,1.0,0.0,1.0
full_nl,oracle,OracleCF-Pearl,14,1,0,1.8536172624846947,1.5121448545294038,0.978,0.3,0.94,1.7514755496861796,0.9496056186499644,50,0,1,0.0,0.8966212465774284,1.0,0.9999999609708422,0.0,1.0,0.0,1.0
full_nl,oracle,OracleCF-Pearl,15,0,0,9.372545706507603,2.523020638847325,0.926,0.2,0.83,1.1894100037645208,0.9915363579587398,50,0,1,0.0,0.8576842283702869,1.0,0.9999999751972803,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,16,0,0,3.6706935973446093,1.8169765946353684,0.974,0.5,0.89,1.2580151188393234,0.9851190161511745,50,0,1,0.0,0.8972146619923469,1.0,0.9999999749148979,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,17,1,0,4.0907635636229225,2.133838541176304,0.978,0.5,0.93,1.3559857264795743,0.9765393647260961,50,0,1,0.0,0.8904695127935643,1.0,0.9999999612286895,0.0,1.0,0.0,1.0
full_nl,oracle,OracleCF-Pearl,18,1,0,3.240668564095132,1.6667725082802223,0.964,0.1,0.92,1.4622447434387966,0.9774336826503285,50,0,1,0.0,0.8830835867113461,1.0,0.9999999756467571,0.0,1.0,0.0,1.0
full_nl,oracle,OracleCF-Pearl,19,0,0,24.731805814893413,5.322394909748285,0.882,0.0,0.81,1.2253657954592776,0.9647465649219817,50,0,1,0.0,0.878541637135761,1.0,0.9999999740688325,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,20,0,0,5.042472137353269,1.7780217586242801,0.951,0.2,0.88,1.3150203976084474,0.9520005442431767,50,0,1,0.0,0.8641493752384465,1.0,0.9999999745612181,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,21,0,0,2.0907367347696897,1.5634395708879507,0.994,0.9,0.94,1.4505650820482756,0.9949716309775753,50,0,1,0.0,0.895028878033515,1.0,0.9999999613970648,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,22,0,0,1.9567480285544245,1.5426079618510076,0.994,0.9,0.94,1.548672375707714,0.9917723744100764,50,0,1,0.0,0.9037467920230899,1.0,0.9999999602768149,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,23,0,0,2.6999647832953055,1.554909755751258,0.955,0.3,0.88,1.4736168225526607,0.950000382370704,50,0,1,0.0,0.8658717767624626,1.0,0.9999999725643608,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,24,0,0,2.100589557498557,1.5140761476933815,0.958,0.1,0.9,1.7021828334581846,0.9546979033928945,50,0,1,0.0,0.8516994783931956,1.0,0.9999999756947366,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,25,0,0,3.600240779012499,1.8677013910607871,0.978,0.4,0.93,1.3495932699737427,0.9919886276097374,50,0,1,0.0,0.8978818815912074,1.0,0.9999999631626086,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,26,1,0,4.846118278391957,2.083285692636054,0.97,0.4,0.9,0.9995112637617014,0.9075205751931466,50,0,1,0.0,0.8533424518649682,1.0,0.999999975915848,0.0,1.0,0.0,1.0
full_nl,oracle,OracleCF-Pearl,27,0,0,7.643190973839662,2.7288252227816168,0.955,0.1,0.9,1.2618689697968222,0.9232374056658558,50,0,1,0.0,0.8893831266381249,1.0,0.9999999625877486,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,28,0,0,12.509661807364173,4.192866789067492,0.94,0.1,0.88,1.2520349841655656,0.9861160572235195,50,0,1,0.0,0.8671428668772249,1.0,0.9999999757554097,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,29,0,0,693.9278153377091,39.956875113202855,0.518,0.0,0.5,0.9679751177876785,0.9967480340522182,50,0,1,0.0,0.851034171494104,1.0,0.9999999737926716,0.0,0.0,,
full_nl,oracle,OracleCF-Pearl,30,1,0,3.5249131147376196,1.6666899553712349,0.938,0.1,0.87,1.3667503414280606,0.9802270498582385,50,0,1,0.0,0.8855396500057935,1.0,0.9999999760721242,0.0,1.0,0.0,1.0
full_nl,oracle,OracleCF-Pearl,31,1,0,2.091941265231178,1.5634400075272388,0.993,0.8,0.94,1.4505632168761877,0.9514925868431545,50,0,1,0.0,0.8877784833261098,1.0,0.9999999601767918,0.0,1.0,0.0,1.0
