benchmark,classifier,method,instance,validity,no_cf_found,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,do_complexity,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,cf_faith_rollout_hard_given_valid,cf_faith_pearl_hard_given_valid
full_spring,lstm,CftsCOMTE,0,1,0,1399.7810930605333,122.86587513075767,0.7,0.7,0.0,0.05416016081774521,0.9013277230437633,0,0,100,0.0,0.07133853615291849,0.0,0.2151054827215717,0.0,0.0,0.0,0.0
full_spring,lstm,CftsCOMTE,1,1,0,749.7567776546409,84.82293850396387,0.8,0.8,0.0,0.0617898018708609,0.873137686687056,0,0,100,0.0,0.12131295358538685,0.0,0.4927858827080242,0.0,0.0,0.0,0.0
full_spring,lstm,CftsCOMTE,2,1,0,1414.5984274922196,98.65927676896237,0.7,0.7,0.0,0.0621585501575172,0.9283440335212032,0,0,100,0.0,0.15360710308383183,0.0,0.6068699841264005,0.0,0.0,0.0,0.0
full_spring,lstm,CftsCOMTE,3,1,0,222.37109389045426,18.472186224105968,0.8,0.8,0.0,0.1614254657555138,0.9550226007093667,0,0,100,0.0,0.28792059082333527,0.0,0.7286868261228474,0.0,0.0,0.0,0.0
full_spring,lstm,CftsCOMTE,4,1,0,4388.137919595287,325.83627882846594,0.8,0.8,0.0,0.014801553729962993,0.7196585121346905,0,0,100,0.0,0.04405480655993222,0.0,0.13596199323103417,0.0,0.0,0.0,0.0
full_spring,lstm,CftsCOMTE,5,1,0,2192.508553520738,196.00074328356618,0.8,0.8,0.0,0.024413962774991745,0.7189374538353703,0,0,100,0.0,0.039679636914422826,0.0,0.0752481443453951,0.0,0.0,0.0,0.0
full_spring,lstm,CftsCOMTE,6,1,0,4131.11375205448,320.7577957873721,0.8,0.8,0.0,0.018146354041744417,0.6283932995846293,0,0,100,0.0,0.04343795858452526,0.0,0.07683819166703608,0.0,0.0,0.0,0.0
full_spring,lstm,CftsCOMTE,7,1,0,437.5147467295981,49.429871705148265,0.9,0.9,0.0,0.0562062375005884,0.8350783500380673,0,0,100,0.0,0.28185368017066287,0.0,0.6335378039327891,0.0,0.0,0.0,0.0
full_spring,lstm,CftsCOMTE,8,1,0,3095.125966314405,249.73374657645095,0.7,0.7,0.0,0.032813688333044835,0.850826832737123,0,0,100,0.0,0.1851285270115012,0.0,0.07136828092929583,0.0,0.0,0.0,0.0
full_spring,lstm,CftsCOMTE,9,1,0,3790.5451153545173,274.3662544882907,0.7,0.7,0.0,0.02253727373629564,0.8300083532260235,0,0,100,0.0,0.05634475358442557,0.0,0.08966491183759491,0.0,0.0,0.0,0.0
full_spring,lstm,CftsCOMTE,10,1,0,507.99329606926403,66.52597125524686,0.9,0.9,0.0,0.04439576803803847,0.8701924268443362,0,0,100,0.0,0.1506393650848294,0.0,0.5637203913307189,0.0,0.0,0.0,0.0
full_spring,lstm,CftsCOMTE,11,1,0,3126.465637403479,231.5427851101801,0.7,0.7,0.0,0.03530177150874344,0.8924988908439727,0,0,100,0.0,0.06043088909760021,0.0,0.1841853080925277,0.0,0.0,0.0,0.0
