benchmark,classifier,method,instance,validity,no_cf_found,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,do_complexity,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,cf_faith_rollout_hard_given_valid,cf_faith_pearl_hard_given_valid
smoke_spring,oracle,OracleCF-Pearl,0,1,0,29.286036205308896,5.867253357040755,0.9033333333333333,0.8,0.5,0.15873765660894873,0.890825745423346,15,0,1,0.0,0.7187218025615657,1.0,0.9999998236930279,0.0,1.0,0.0,1.0
smoke_spring,oracle,OracleCF-Pearl,1,0,0,35.16393097520962,6.174126276965357,0.77,0.5,0.5,0.10781423441334721,0.9472380535398334,15,0,1,0.0,0.8032003285805464,1.0,0.9999997928396931,0.0,0.0,,
smoke_spring,oracle,OracleCF-Pearl,2,1,0,32.98544914856518,5.6883037311098485,0.8133333333333334,0.6,0.5,0.1419669255005277,0.9736849340064997,15,0,1,0.0,0.8190722690438769,1.0,0.9999998554833658,0.0,1.0,0.0,1.0
smoke_spring,oracle,OracleCF-Pearl,3,0,0,35.1639154635345,6.17412544779637,0.77,0.5,0.5,0.10781405131657473,0.9282360700685396,15,0,1,0.0,0.7790085981066746,1.0,0.9999999355017443,0.0,0.0,,
smoke_spring,oracle,OracleCF-Pearl,4,1,0,22.500038864291973,5.809474964544784,0.95,0.9,0.5,0.06896645638006502,0.9490614431117431,15,0,1,0.0,0.7681785643800866,1.0,0.9999998603738148,0.0,1.0,0.0,1.0
smoke_spring,oracle,OracleCF-Pearl,5,0,0,30.682761916725312,6.137508708252716,0.9033333333333333,0.8,0.5,0.15766218871768922,0.9156796684662116,15,0,1,0.0,0.7831994801163215,1.0,0.9999998818847873,0.0,0.0,,
smoke_spring,oracle,OracleCF-Pearl,6,1,0,43.386614306836485,7.595308324724342,0.7433333333333333,0.4,0.5,0.13292681161994369,0.9909673365567264,15,0,1,0.0,0.7117057075693972,1.0,0.999999897290067,0.0,1.0,0.0,1.0
smoke_spring,oracle,OracleCF-Pearl,7,1,0,35.544087193820474,6.573879085236932,0.8233333333333334,0.6,0.5,0.145330809854222,0.9693113120241607,15,0,1,0.0,0.7754607927069197,1.0,0.9999999309107258,0.0,1.0,0.0,1.0
smoke_spring,oracle,OracleCF-Pearl,8,0,0,43.38660559038704,7.595308286440152,0.7433333333333333,0.4,0.5,0.13292677307710926,0.8989028332574119,15,0,1,0.0,0.7431139048250109,1.0,0.9999999057528233,0.0,0.0,,
smoke_spring,oracle,OracleCF-Pearl,9,0,0,38.250018771093195,7.5224663419039794,0.9033333333333333,0.8,0.5,0.12998638332742904,0.9644222077199766,15,0,1,0.0,0.7504079560309108,1.0,0.9999999030350829,0.0,0.0,,
smoke_spring,oracle,OracleCF-Pearl,10,1,0,29.28603520050388,5.867252798033337,0.9033333333333333,0.8,0.5,0.15873757606203517,0.9775448783780014,15,0,1,0.0,0.7447040766310891,1.0,0.9999997435778643,0.0,1.0,0.0,1.0
smoke_spring,oracle,OracleCF-Pearl,11,0,0,35.163932894886734,6.17412568858246,0.77,0.5,0.5,0.10781428936727377,0.9880897846878989,15,0,1,0.0,0.7758806894432804,1.0,0.9999998546999038,0.0,0.0,,
