dataset,classifier,method,metric,value
full,lstm,CftsCOMTE,cf_faith_pearl_hard,0.0
full,lstm,CftsCOMTE,cf_faith_pearl_hard_given_valid,0.0
full,lstm,CftsCOMTE,cf_faith_pearl_hard_valid,0.0
full,lstm,CftsCOMTE,cf_faith_pearl_soft,0.9641392263315347
full,lstm,CftsCOMTE,cf_faith_rollout_hard,0.0
full,lstm,CftsCOMTE,cf_faith_rollout_hard_given_valid,0.0
full,lstm,CftsCOMTE,cf_faith_rollout_hard_valid,0.0
full,lstm,CftsCOMTE,cf_faith_rollout_soft,0.7724147893441565
full,lstm,CftsCOMTE,do_complexity_mean,100.0
full,lstm,CftsCOMTE,do_complexity_mean_all,100.0
full,lstm,CftsCOMTE,do_complexity_mean_pearl_scorable,100.0
full,lstm,CftsCOMTE,do_complexity_median,100.0
full,lstm,CftsCOMTE,do_complexity_stability,1.0006060606060607
full,lstm,CftsCOMTE,frac_degenerate,0.0
full,lstm,CftsCOMTE,frac_no_do_schedule,0.0
full,lstm,CftsCOMTE,frac_vacuous,0.0
full,lstm,CftsCOMTE,n,100.0
full,lstm,CftsCOMTE,n_cf_faith_scorable,100.0
full,lstm,CftsCOMTE,n_do_scorable,100.0
full,lstm,CftsCOMTE,ood,0.026844366079310213
full,lstm,CftsCOMTE,pns_PS_A_model_proposed,1.0
full,lstm,CftsCOMTE,pns_PS_B_model_oracle,0.0
full,lstm,CftsCOMTE,pns_PS_C_world_oracle,0.0
full,lstm,CftsCOMTE,pns_PS_delta_outcome,0.0
full,lstm,CftsCOMTE,pns_PS_delta_total,1.0
full,lstm,CftsCOMTE,pns_PS_delta_trajectory,1.0
full,lstm,CftsCOMTE,pns_PS_do_complexity_mean,100.0
full,lstm,CftsCOMTE,pns_PS_do_complexity_median,100.0
full,lstm,CftsCOMTE,pns_PS_frac_no_intervention,0.0
full,lstm,CftsCOMTE,pns_PS_n,100.0
full,lstm,CftsCOMTE,pns_PS_n_scorable,100.0
full,lstm,CftsCOMTE,proximity_l1,30.332054986043463
full,lstm,CftsCOMTE,proximity_l2,3.782048469876542
full,lstm,CftsCOMTE,scm_noise_plausibility,0.6595360347261041
full,lstm,CftsCOMTE,shift_vr,1.0
full,lstm,CftsCOMTE,sparsity,0.9001700000000002
full,lstm,CftsCOMTE,sparsity_channels,0.9000000000000005
full,lstm,CftsCOMTE,sparsity_timepoints,0.0017
full,lstm,CftsCOMTE,trsi,1.465225460710338
full,lstm,CftsCOMTE,validity,1.0
full,lstm,CftsCOMTE,validity_base,1.0
full,lstm,CftsCOMTE,validity_shift,1.0
full,lstm,CftsCels,cf_faith_pearl_hard,0.07547169811320754
full,lstm,CftsCels,cf_faith_pearl_hard_given_valid,0.02
full,lstm,CftsCels,cf_faith_pearl_hard_valid,0.01
full,lstm,CftsCels,cf_faith_pearl_soft,0.992756400545239
full,lstm,CftsCels,cf_faith_rollout_hard,0.0
full,lstm,CftsCels,cf_faith_rollout_hard_given_valid,0.0
full,lstm,CftsCels,cf_faith_rollout_hard_valid,0.0
full,lstm,CftsCels,cf_faith_rollout_soft,0.8580621712973404
full,lstm,CftsCels,do_complexity_mean,3.57
full,lstm,CftsCels,do_complexity_mean_all,3.57
full,lstm,CftsCels,do_complexity_mean_pearl_scorable,6.735849056603773
full,lstm,CftsCels,do_complexity_median,3.0
full,lstm,CftsCels,do_complexity_stability,6.077275783797523
full,lstm,CftsCels,frac_degenerate,0.47
full,lstm,CftsCels,frac_no_do_schedule,0.47
full,lstm,CftsCels,frac_vacuous,0.47
full,lstm,CftsCels,n,100.0
full,lstm,CftsCels,n_cf_faith_scorable,53.0
full,lstm,CftsCels,n_do_scorable,53.0
full,lstm,CftsCels,ood,0.025155398997968988
full,lstm,CftsCels,pns_PS_A_model_proposed,0.9433962264150944
full,lstm,CftsCels,pns_PS_B_model_oracle,0.0
full,lstm,CftsCels,pns_PS_C_world_oracle,0.0
full,lstm,CftsCels,pns_PS_delta_outcome,0.0
full,lstm,CftsCels,pns_PS_delta_total,0.9433962264150944
full,lstm,CftsCels,pns_PS_delta_trajectory,0.9433962264150944
full,lstm,CftsCels,pns_PS_do_complexity_mean,6.735849056603773
full,lstm,CftsCels,pns_PS_do_complexity_median,6.0
full,lstm,CftsCels,pns_PS_frac_no_intervention,0.47
full,lstm,CftsCels,pns_PS_n,100.0
full,lstm,CftsCels,pns_PS_n_scorable,53.0
full,lstm,CftsCels,proximity_l1,0.2927553621988956
full,lstm,CftsCels,proximity_l2,0.15414147832437386
full,lstm,CftsCels,scm_noise_plausibility,0.9777450238737485
full,lstm,CftsCels,shift_vr,1.26
full,lstm,CftsCels,sparsity,0.9901900000000002
full,lstm,CftsCels,sparsity_channels,0.588
full,lstm,CftsCels,sparsity_timepoints,0.9666000000000001
full,lstm,CftsCels,trsi,1.3503411596004145
full,lstm,CftsCels,validity,0.5
full,lstm,CftsCels,validity_base,0.5
full,lstm,CftsCels,validity_shift,0.63
full,lstm,CftsConfeti,cf_faith_pearl_hard,0.0
full,lstm,CftsConfeti,cf_faith_pearl_hard_given_valid,0.0
full,lstm,CftsConfeti,cf_faith_pearl_hard_valid,0.0
full,lstm,CftsConfeti,cf_faith_pearl_soft,0.8387721632987909
full,lstm,CftsConfeti,cf_faith_rollout_hard,0.0
full,lstm,CftsConfeti,cf_faith_rollout_hard_given_valid,0.0
full,lstm,CftsConfeti,cf_faith_rollout_hard_valid,0.0
full,lstm,CftsConfeti,cf_faith_rollout_soft,0.7870272957674188
