dataset,classifier,method,axis_a_LagAcc,axis_a_LagF1,axis_a_ResidualDep,axis_a_SHD,cf_faith_pearl_hard,cf_faith_pearl_hard_given_valid,cf_faith_pearl_hard_valid,cf_faith_pearl_soft,cf_faith_rollout_hard,cf_faith_rollout_hard_given_valid,cf_faith_rollout_hard_valid,cf_faith_rollout_soft,do_complexity_mean,do_complexity_mean_all,do_complexity_mean_pearl_scorable,do_complexity_median,do_complexity_stability,frac_degenerate,frac_no_do_schedule,frac_vacuous,n,n_cf_faith_scorable,n_do_scorable,ood,pns_PS_A_model_proposed,pns_PS_B_model_oracle,pns_PS_C_world_oracle,pns_PS_delta_outcome,pns_PS_delta_total,pns_PS_delta_trajectory,pns_PS_do_complexity_mean,pns_PS_do_complexity_median,pns_PS_frac_no_intervention,pns_PS_n,pns_PS_n_scorable,proximity_l1,proximity_l2,scm_noise_plausibility,shift_vr,sparsity,sparsity_channels,sparsity_timepoints,trsi,validity,validity_base,validity_shift
full,lstm,CftsCOMTE,,,,,0.0,0.0,0.0,0.9641392263315347,0.0,0.0,0.0,0.7724147893441565,100.0,100.0,100.0,100.0,1.0006060606060607,0.0,0.0,0.0,100.0,100.0,100.0,0.026844366079310213,1.0,0.0,0.0,0.0,1.0,1.0,100.0,100.0,0.0,100.0,100.0,30.332054986043463,3.782048469876542,0.6595360347261041,1.0,0.9001700000000002,0.9000000000000005,0.0017,1.465225460710338,1.0,1.0,1.0
full,lstm,CftsCels,,,,,0.07547169811320754,0.02,0.01,0.992756400545239,0.0,0.0,0.0,0.8580621712973404,3.57,3.57,6.735849056603773,3.0,6.077275783797523,0.47,0.47,0.47,100.0,53.0,53.0,0.025155398997968988,0.9433962264150944,0.0,0.0,0.0,0.9433962264150944,0.9433962264150944,6.735849056603773,6.0,0.47,100.0,53.0,0.2927553621988956,0.15414147832437386,0.9777450238737485,1.26,0.9901900000000002,0.588,0.9666000000000001,1.3503411596004145,0.5,0.5,0.63
full,lstm,CftsConfeti,,,,,0.0,0.0,0.0,0.8387721632987909,0.0,0.0,0.0,0.7870272957674188,56.0,56.0,100.0,100.0,1.0,0.43999999999999995,0.43999999999999995,0.44,100.0,56.0,56.0,0.027275231734189668,1.0,0.0,0.0,0.0,1.0,1.0,100.0,100.0,0.44,100.0,56.0,93.97584464293678,5.455716321031582,0.6363379011722431,1.0714285714285714,0.72312,0.44,0.44060000000000005,1.4368683714829549,0.56,0.56,0.6
full,lstm,CftsWachter,,,,,0.0,0.0,0.0,0.7163871437207864,0.0,0.0,0.0,0.7632124010414664,98.32,98.32,98.32,100.0,1.0338470880298771,0.0,0.0,0.0,100.0,100.0,100.0,0.028419227097137324,0.9,0.0,0.0,0.0,0.9,0.9,98.32,100.0,0.0,100.0,100.0,344.8840107136436,16.871823961575267,0.8560817543451605,1.0333333333333334,0.049850000000000005,0.0,0.0209,1.3715003205159988,0.9,0.9,0.93
full,lstm,NoiselessSCMRecourse,,,,,0.0,0.0,0.0,0.7739143353536063,1.0,1.0,1.0,0.9999999953339909,75.0,75.0,75.0,75.0,1.013513513513514,0.0,0.0,0.0,100.0,100.0,100.0,0.07680277378645446,1.0,0.0,0.0,0.0,1.0,1.0,75.0,75.0,0.0,100.0,100.0,192.45582696468608,9.461591124565187,0.2485453828339019,1.0,0.25346,0.0,0.25,1.4009715925621973,1.0,1.0,1.0
full,lstm,PearlSCMRecourse,,,,,1.0,1.0,0.64,0.9999991860032229,0.0,0.0,0.0,0.7773229547294317,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,-0.08788994024934281,0.64,0.64,0.35,0.29000000000000004,0.29000000000000004,0.0,1.0,1.0,0.0,100.0,100.0,2444.348610611296,230.36875553350234,0.4176020047161301,1.171875,0.49838,0.0,0.4975,1.723507572262609,0.64,0.64,0.75
full,lstm,TSCausal,,,,,0.0,0.0,0.0,0.7721848716056035,0.55,0.55,0.55,0.9990071315676536,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.09910261866346196,1.0,0.0,0.0,0.0,1.0,1.0,100.0,100.0,0.0,100.0,100.0,267.9190888513669,11.296870582479619,0.0010104338744003887,1.0,0.0027800000000000004,0.0,0.0,1.3996979365168625,1.0,1.0,1.0
full,lstm,__dataset__,1.0,1.0,0.0020434192354136377,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full,oracle,OracleCF-Pearl,,,,,1.0,1.0,0.42,0.9999999933682723,0.0,0.0,0.0,0.7771616655244651,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.020644853458231686,,,,,,,,,,,,29.346737573217133,3.6571302307825175,0.9748557653106673,,0.6111000000000001,0.09,0.549,1.5576225064954567,0.42,,
full,oracle,OracleCF-Rollout,,,,,0.0,0.0,0.0,0.7771616656111696,1.0,1.0,1.0,0.999999997799617,50.0,50.0,50.0,50.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.05390765773172132,,,,,,,,,,,,138.4864400060933,8.494353882145871,0.5178421939165156,,0.5103300000000001,0.0,0.5,1.4173018063088125,1.0,,
