benchmark,classifier,method,n,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,n_cf_faith_scorable,frac_degenerate,n_vacuous,frac_vacuous,n_no_cf_found,frac_no_cf_found,do_complexity_mean_all,do_complexity_mean_pearl_scorable,n_do_scorable,frac_no_do_schedule,do_complexity_mean,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,cf_faith_rollout_hard_given_valid,cf_faith_pearl_hard_given_valid,frac_altered,ood,do_complexity_median,do_complexity_stability
full,lstm,CftsCOMTE,100,1.0,30.332054986043463,3.782048469876542,0.9001700000000002,0.9000000000000005,0.0017,1.465225460710338,0.6595360347261041,0.0,0.7724147893441565,0.0,0.9641392263315347,100,0.0,0,0.0,0,0.0,100.0,100.0,100,0.0,100.0,0.0,0.0,0.0,0.0,,,,
full,lstm,CftsCels,100,0.5,0.2927553621988956,0.15414147832437386,0.9901900000000002,0.588,0.9666000000000001,1.3503411596004145,0.9777450238737485,0.0,0.8580621712973404,0.07547169811320754,0.992756400545239,53,0.47,47,0.47,0,0.0,3.57,6.735849056603773,53,0.47,3.57,0.0,0.01,0.0,0.02,,,,
full,lstm,CftsConfeti,100,0.56,93.97584464293678,5.455716321031582,0.72312,0.44,0.44060000000000005,1.4368683714829549,0.6363379011722431,0.0,0.7870272957674188,0.0,0.8387721632987909,56,0.43999999999999995,44,0.44,0,0.0,56.0,100.0,56,0.43999999999999995,56.0,0.0,0.0,0.0,0.0,,,,
full,lstm,CftsWachter,100,0.9,344.8840107136436,16.871823961575267,0.049850000000000005,0.0,0.0209,1.3715003205159988,0.8560817543451605,0.0,0.7632124010414664,0.0,0.7163871437207864,100,0.0,0,0.0,0,0.0,98.32,98.32,100,0.0,98.32,0.0,0.0,0.0,0.0,,,,
full,lstm,NoiselessSCMRecourse,100,1.0,192.45582696468608,9.461591124565187,0.25346,0.0,0.25,1.4009715925621973,0.2485453828339019,1.0,0.9999999953339909,0.0,0.7739143353536063,100,0.0,0,0.0,0,0.0,75.0,75.0,100,0.0,75.0,1.0,0.0,1.0,0.0,,,,
full,lstm,PearlSCMRecourse,100,0.64,2444.348610611296,230.36875553350234,0.49838,0.0,0.4975,1.723507572262609,0.4176020047161301,0.0,0.7773229547294317,1.0,0.9999991860032229,100,0.0,0,0.0,36,0.36,1.0,1.0,100,0.0,1.0,0.0,0.64,0.0,1.0,,,,
full,lstm,TSCausal,100,1.0,267.9190888513669,11.296870582479619,0.0027800000000000004,0.0,0.0,1.3996979365168625,0.0010104338744003887,0.55,0.9990071315676536,0.0,0.7721848716056035,100,0.0,0,0.0,0,0.0,100.0,100.0,100,0.0,100.0,0.55,0.0,0.55,0.0,,,,
full,oracle,OracleCF-Pearl,100,0.42,29.346737573217133,3.6571302307825175,0.6111000000000001,0.09,0.549,1.5576225064954567,0.9748557653106673,0.0,0.7771616655244651,1.0,0.9999999933682723,100,0.0,0,0.0,0,0.0,1.0,1.0,100,0.0,1.0,0.0,0.42,0.0,1.0,0.3888999999999999,0.020644853458231686,1.0,1.0
full,oracle,OracleCF-Rollout,100,1.0,138.4864400060933,8.494353882145871,0.5103300000000001,0.0,0.5,1.4173018063088125,0.5178421939165156,1.0,0.999999997799617,0.0,0.7771616656111696,100,0.0,0,0.0,0,0.0,50.0,50.0,100,0.0,50.0,1.0,0.0,1.0,0.0,0.48966999999999994,0.05390765773172132,50.0,1.0
full_nl,lstm,CftsCOMTE,100,1.0,231.43594462775246,19.328462335481255,0.7942900000000002,0.7940000000000002,0.0005,1.5331136540102448,0.34910450754162914,0.0,0.6290234430143503,0.0,0.6945048984144832,100,0.0,0,0.0,0,0.0,99.99,99.99,100,0.0,99.99,0.0,0.0,0.0,0.0,,,,
