method,instance,t0,horizon,no_op,n_intervened_channels,validity,proximity_l1,proximity_l2,sparsity,ood
CftsWachter,0,0,100,False,6,1.0,2711.8297184805933,153.8855480088001,0.0,0.050918508117549166
CftsWachter,1,0,100,False,6,1.0,2166.073755062779,142.6395054974737,0.0,0.04705432533145526
CftsWachter,2,0,100,False,6,1.0,2166.490576554886,127.21543798342674,0.0,0.07684251560369681
CftsWachter,3,0,100,False,6,1.0,2658.8323551993217,156.23612899446397,0.0,0.037895026883309146
CftsWachter,4,0,100,False,6,1.0,636.9418813891992,38.51212120301628,0.0,0.18818945073302118
CftsWachter,5,0,100,False,6,1.0,3086.4523201882675,175.3567418837783,0.0,0.021451555822250667
CftsWachter,6,0,100,False,6,1.0,643.6208191445298,36.72057177185685,0.0,0.1883082090606612
CftsWachter,7,15,85,False,1,0.0,0.13007377256107297,0.014140677720227509,0.9483333333333334,0.2024576423375669
CftsWachter,8,0,100,False,5,1.0,2296.6017440450096,146.2718777515014,0.0033333333333333335,0.04769664375099458
CftsWachter,9,0,100,False,6,1.0,1953.5414505604717,126.2273837565007,0.0016666666666666668,0.08630691327102563
CftsWachter,10,0,100,False,6,1.0,3402.4384124468297,201.32614360138993,0.0,0.04769664375099458
CftsWachter,11,0,100,False,6,1.0,3075.1531796208496,176.89330773693578,0.0016666666666666668,0.18811108912381114
CftsWachter,12,0,100,False,6,1.0,2804.793836677124,161.6176198096076,0.0016666666666666668,0.1743016308393408
CftsWachter,13,0,100,False,6,1.0,2708.459435761957,154.4839844917089,0.0,0.18244948650714982
CftsWachter,14,0,100,False,6,1.0,2877.425102198401,166.91933167626345,0.0,0.16216567307074176
CftsWachter,15,0,100,False,6,1.0,3615.4227962335867,203.57205486391234,0.0,0.06011029432035825
CftsWachter,16,0,100,False,6,1.0,2945.116392794104,191.72916120039037,0.0,0.03188568286622162
CftsWachter,17,0,100,False,6,1.0,3615.5931709843203,225.29482266665306,0.0,0.04966989100396069
CftsWachter,18,0,100,False,6,1.0,3807.026763114445,208.51767162090454,0.0016666666666666668,0.09528859280720692
CftsWachter,19,0,100,False,6,1.0,3421.235927634768,199.30868866133235,0.0,0.08630691327102563
CftsWachter,20,0,100,False,6,1.0,2119.749760437994,140.03495909491977,0.0,0.06011029432035825
CftsWachter,23,0,100,False,6,1.0,2706.1787793585,160.1912229427492,0.0,0.042760972159918365
CftsWachter,25,0,100,False,6,1.0,2517.4728653058255,147.10091606260409,0.0,0.0818145448999299
CftsWachter,26,0,100,False,3,1.0,422.41845099639494,26.568355006313347,0.03666666666666667,0.19410550220943945
CftsWachter,27,0,100,False,6,1.0,651.4475825909972,42.21650495836128,0.0,0.19238546302187637
CftsWachter,28,0,100,False,6,1.0,459.4690472639393,31.124063985943693,0.0016666666666666668,0.1761285381804154
CftsWachter,29,0,100,False,6,1.0,2696.509829893309,160.02258190569444,0.0,0.047785286853025855
CftsCOMTE,0,0,100,False,6,1.0,1109.0062953896718,77.18980744370093,0.0,0.1112365950573379
CftsCOMTE,1,0,100,False,6,1.0,825.5433565869026,45.490681551383034,0.0,0.1481604390007214
CftsCOMTE,2,0,100,False,6,1.0,1167.1305251645554,80.69356599943572,0.0,0.10866262862024384
CftsCOMTE,3,0,100,False,6,1.0,860.9342861425594,54.937902204935575,0.0,0.14144486595238637
CftsCOMTE,4,0,100,False,6,1.0,578.8121107348674,36.528007375479405,0.005,0.15754345879407927
CftsCOMTE,5,0,100,False,6,1.0,1135.7588355562953,72.85640014774343,0.0,0.12479755088875483
CftsCOMTE,6,0,100,False,6,1.0,863.3430011167206,48.4113813622694,0.0,0.14553304162136643
CftsCOMTE,7,0,100,False,6,1.0,753.8635385112377,40.28478617030593,0.0,0.14154837713652468
CftsCOMTE,8,0,100,False,6,1.0,833.3894281477069,53.207614760856515,0.0,0.14398531547966037
CftsCOMTE,9,0,100,False,6,1.0,754.8360778921982,49.108131590832684,0.0,0.14581747202259304
CftsCOMTE,10,0,100,False,6,1.0,1133.620106953863,53.409149595148165,0.0,0.05925028187664688
CftsCOMTE,11,0,100,False,6,1.0,2000.3013386518878,91.1872236857518,0.0016666666666666668,0.011981331119900629
CftsCOMTE,12,0,100,False,6,1.0,1741.3419941398251,82.38657400351767,0.0,0.020513239991819754
CftsCOMTE,13,0,100,False,6,1.0,1940.9525208691305,96.83986251104092,0.0,-0.005215997898673552
CftsCOMTE,14,0,100,False,6,1.0,1407.816603127234,68.50115113874206,0.0,-0.0022153081272754394
CftsCOMTE,15,0,100,False,6,1.0,2098.9995270431227,94.10087226549767,0.0,-0.030938433207307936
CftsCOMTE,16,0,100,False,6,1.0,1420.1096758690937,81.66822168810823,0.0016666666666666668,0.012522843738692502
CftsCOMTE,17,0,100,False,6,1.0,1990.138952452132,88.2545234742424,0.0,-0.0008920049283343001
CftsCOMTE,18,0,100,False,6,1.0,1548.879141904346,71.57997726568135,0.0,0.006189128143409217
CftsCOMTE,19,0,100,False,6,1.0,1362.7107414427426,63.40362137317278,0.0,0.03192798511380979
CftsCOMTE,20,0,100,False,6,1.0,652.2486241835918,42.69606637765976,0.0,0.15891589262106337
CftsCOMTE,23,0,100,False,6,1.0,530.6654024139233,36.3433821900548,0.0,0.1545098516638302
CftsCOMTE,25,0,100,False,6,1.0,668.9626513297163,54.440500154935954,0.0,0.14222811355991455
CftsCOMTE,26,0,100,False,6,1.0,593.4623038118424,45.16750329856457,0.0,0.15331734709253042
CftsCOMTE,27,0,100,False,6,1.0,567.451169671379,40.81333247697348,0.0,0.1374720886348782
CftsCOMTE,28,0,100,False,6,1.0,616.7473930466779,51.58074079679144,0.0,0.1651757506689644
CftsCOMTE,29,0,100,False,6,1.0,679.4248019063382,52.28481191517257,0.0,0.15339714542510413
CftsConfeti,0,None,None,True,0,0.0,4.1175845419983434e-06,8.39652870891554e-07,1.0,0.1921917609128046
CftsConfeti,1,None,None,True,0,0.0,2.0778357413035417e-06,1.4055735595154884e-07,1.0,0.20731565273468555
CftsConfeti,2,None,None,True,0,0.0,5.412405633469083e-06,5.383161473753332e-07,1.0,0.19133158407218132
CftsConfeti,3,None,None,True,0,0.0,3.6665345192038435e-06,3.2227230752524914e-07,1.0,0.20160387825298376
CftsConfeti,4,None,None,True,0,0.0,3.833452129265575e-06,2.781667245457791e-07,1.0,0.20027906062280587
CftsConfeti,5,None,None,True,0,0.0,3.907516478823293e-06,3.164294553498775e-07,1.0,0.2047276303373211
CftsConfeti,6,None,None,True,0,0.0,1.9987004810968095e-06,1.519534393212401e-07,1.0,0.20275004851792516
CftsConfeti,7,None,None,True,0,0.0,3.138216257567812e-06,2.2193408189916484e-07,1.0,0.2024576423375669
CftsConfeti,8,None,None,True,0,0.0,3.201659404038302e-06,2.663027184098935e-07,1.0,0.2023311385681249
CftsConfeti,9,None,None,True,0,0.0,3.2565273939948874e-06,3.179225220263601e-07,1.0,0.20125879969882488
CftsConfeti,10,0,100,False,6,1.0,1414.4905916698285,113.0677398468907,0.51,0.10158494641728005
CftsConfeti,11,0,100,False,4,1.0,1668.1308288567743,133.26515513127194,0.48833333333333334,0.09327589998217972
CftsConfeti,12,0,100,False,5,1.0,1624.8820074642813,126.19926950320946,0.49333333333333335,0.13029300627786405
CftsConfeti,13,0,100,False,2,1.0,1656.495695606318,127.76565671935997,0.49333333333333335,0.09557681253306011
CftsConfeti,14,0,100,False,2,1.0,1687.7347697358648,130.13313405845506,0.4583333333333333,0.13373734375794322
