method,instance,t0,horizon,no_op,n_intervened_channels,validity,proximity_l1,proximity_l2,sparsity,ood
CftsWachter,0,0,206,False,2,1.0,312.0585380772315,17.24165019104775,0.03559870550161812,0.1096572015675662
CftsWachter,1,0,206,False,3,1.0,417.44960714148533,21.847257807589965,0.003236245954692557,0.08981467490906758
CftsWachter,2,0,206,False,3,1.0,318.12467430206016,16.523546089931926,0.008090614886731391,0.14216902566939643
CftsWachter,3,0,206,False,2,1.0,217.0830684372038,15.636883705584605,0.13915857605177995,0.10676654307940076
CftsWachter,4,0,206,False,3,1.0,362.8553770520305,20.03092847428922,0.02912621359223301,0.12670438830435388
CftsWachter,5,20,186,False,1,0.0,52.87965777311474,5.633205546217501,0.587378640776699,0.07817091418253053
CftsWachter,6,125,81,False,1,1.0,34.584379265689314,4.147950012788524,0.6262135922330098,0.11671725854557224
CftsWachter,7,0,206,False,2,1.0,419.2263434219733,24.493214229338165,0.006472491909385114,0.08000283807435271
CftsWachter,8,0,206,False,3,1.0,327.76356668871824,21.261947347122778,0.061488673139158574,0.07390010498639493
CftsWachter,9,0,206,False,3,1.0,311.6495384247415,18.1745415596016,0.024271844660194174,0.12232110831351478
CftsCOMTE,0,0,206,False,3,1.0,625.8041776579619,65.0724786208469,0.0,0.024505222155774997
CftsCOMTE,1,0,206,False,3,1.0,712.0626092786341,83.14074743266616,0.0,0.006024919199317136
CftsCOMTE,2,0,206,False,3,1.0,1008.01037476331,105.69866699297859,0.0,0.045239175125361464
CftsCOMTE,3,0,206,False,3,1.0,550.7553338095545,84.17432606567944,0.0048543689320388345,-0.00981337415255823
CftsCOMTE,4,0,206,False,3,1.0,934.4497431435623,104.29717446034995,0.0016181229773462784,0.010503660274014504
CftsCOMTE,5,0,206,False,3,1.0,725.2444497989491,84.18701629457105,0.0,-0.005564441097414163
CftsCOMTE,6,0,206,False,3,1.0,838.8253014801257,97.03275017917412,0.0,0.06501461708979278
CftsCOMTE,7,0,206,False,3,1.0,1026.7873211419114,103.5210107976543,0.003236245954692557,-0.006642834316783475
CftsCOMTE,8,0,206,False,3,1.0,908.1043542868458,102.24963910850514,0.0016181229773462784,0.02164540784842217
CftsCOMTE,9,0,206,False,3,1.0,652.6282525867224,85.92955135479373,0.0,0.019423225910696174
CftsConfeti,0,0,206,False,1,0.0,238.44000351935625,16.86891223474788,0.4935275080906149,0.08958877841787749
CftsConfeti,1,0,206,False,2,0.0,235.09000359110533,16.24725511790949,0.48058252427184467,0.07297091918292598
CftsConfeti,2,0,206,False,3,0.0,115.48000344127415,9.215063728345685,0.5501618122977346,0.11310957603307392
CftsConfeti,3,0,206,False,2,0.0,214.96000434860588,15.65195834362619,0.5226537216828478,0.06817812780851557
CftsConfeti,4,1,205,False,2,0.0,219.82000570610165,16.76208221637333,0.5064724919093851,0.07086197326628824
CftsConfeti,5,0,206,False,1,0.0,231.18000363409516,16.32374342011962,0.4935275080906149,0.09642376463845392
CftsConfeti,6,0,206,False,2,0.0,216.76000270202755,14.594546910487777,0.48705501618122976,0.11966807052784978
CftsConfeti,7,0,206,False,1,0.0,209.3000042118877,15.272157647137716,0.5097087378640777,0.08768136688267086
CftsConfeti,8,1,205,False,2,0.0,248.77000434465708,17.645993862346376,0.5080906148867314,0.09880722075392717
CftsConfeti,9,0,206,False,1,0.0,221.7500049877167,17.08634832926644,0.4967637540453074,0.09297261291581443
CftsCounts,0,0,206,False,3,0.0,394.5608689567446,20.625364485300633,0.003236245954692557,0.15470370725777682
CftsCounts,1,0,206,False,3,0.0,303.71768813818693,16.609646522498437,0.0016181229773462784,0.1311014588198422
CftsCounts,2,0,206,False,3,0.0,248.03903936475515,12.73677654827893,0.0048543689320388345,0.13818438812484884
CftsCounts,3,0,206,False,3,0.0,346.87985180318356,17.781581983472,0.0,0.09721102631637324
CftsCounts,4,0,206,False,3,0.0,374.6715867720544,21.360130135856384,0.0,0.1375995836989029
CftsCounts,5,0,206,False,3,0.0,352.0132738918066,18.07504683325353,0.0,0.12466991525034221
CftsCounts,6,0,206,False,3,0.0,221.04418702751397,10.452081753571138,0.0048543689320388345,0.13178141567663115
CftsCounts,7,0,206,False,3,0.0,303.8639817863703,16.781341466219917,0.0048543689320388345,0.1381862760433173
CftsCounts,8,0,206,False,3,0.0,431.77528072133657,21.989238477734382,0.0,0.12407851461319214
CftsCounts,9,0,206,False,3,0.0,400.57646898627286,22.551448181611818,0.0016181229773462784,0.12565757775607683
CftsCels,0,73,133,False,1,1.0,49.73232328518472,7.757739621795122,0.8592233009708737,0.07268954389496385
CftsCels,1,48,158,False,1,0.0,35.28197142399847,5.6249780423113105,0.8802588996763754,0.08133215753847167
CftsCels,2,107,99,False,1,1.0,18.571574795898048,1.8449262134645386,0.7006472491909385,0.11400050504306192
CftsCels,3,59,147,False,1,0.0,0.1400042591581524,0.08583154783692279,0.9838187702265372,0.06522988631386512
CftsCels,4,96,110,False,1,1.0,44.313357815816985,5.020495825491101,0.7281553398058253,0.08180142496214637
CftsCels,5,42,164,False,1,0.0,38.95666663657873,6.829999672909042,0.9077669902912622,0.08890184821253982
CftsCels,6,171,35,False,1,0.0,14.541073283776633,3.2227199679784695,0.9320388349514563,0.1241225628101455
CftsCels,7,60,146,False,1,0.0,24.331436953023072,4.852650735816717,0.9385113268608414,0.09058777944746815
CftsCels,8,0,206,False,1,1.0,40.46312022075057,6.4027775094169455,0.8673139158576052,0.08210520883504485
CftsCels,9,5,201,False,1,0.0,42.37971895597874,6.50540412204339,0.8414239482200647,0.0865531362026154
