benchmark,classifier,method,instance,validity,no_cf_found,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,do_complexity,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,cf_faith_rollout_hard_given_valid,cf_faith_pearl_hard_given_valid
smoke,lstm,CftsCOMTE,0,1,0,33.58823287655415,5.313986408833564,0.6,0.6,0.0,1.2822637222838273,0.5207924202321265,0,0,30,0.0,0.7460402386769174,0.0,0.8045586162200922,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,1,1,0,26.318385505367438,4.212081462082581,0.6,0.6,0.0,1.3099476905967988,0.3695872096432233,0,0,30,0.0,0.7361991391272616,0.0,0.8279982306211054,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,2,1,0,10.686051841016312,2.395296070484603,0.8,0.8,0.0,1.274789309284787,0.4281064578356832,0,0,30,0.0,0.748240682295002,0.0,0.9222834650475332,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,3,1,0,11.55597957208322,2.5934882937679684,0.8,0.8,0.0,1.355854821804174,0.39840397528232707,0,0,30,0.0,0.7781158733337848,0.0,0.9036759341035207,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,4,1,0,10.786991755238482,2.533071744654961,0.8066666666666666,0.8,0.03333333333333333,1.1138948323496014,0.43216399330442773,0,0,30,0.0,0.8072911086216394,0.0,0.9294616258275002,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,5,1,0,36.711957120508416,5.189901863496042,0.4,0.4,0.0,1.5258091873116957,0.6484265351766344,0,0,30,0.0,0.7974582336866212,0.0,0.7848245122652959,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,6,1,0,14.288318426108285,3.1546956337086733,0.8,0.8,0.0,1.4372275030402974,0.3535149470434688,0,0,30,0.0,0.6864954462878197,0.0,0.8945425663947715,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,7,1,0,12.066101929185892,2.9475696855300173,0.8,0.8,0.0,1.268973581282473,0.400820753853429,0,0,30,0.0,0.7629736197891042,0.0,0.9183008325843753,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,8,1,0,12.773582819888219,2.8171585429005654,0.8,0.8,0.0,1.3622263007134814,0.3826299340075394,0,0,30,0.0,0.7927226939096926,0.0,0.918230111418615,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,9,1,0,10.676750270842579,2.5254442604812604,0.8,0.8,0.0,1.4621466153584015,0.4629416674262929,0,0,30,0.0,0.810731330803298,0.0,0.9296411380689252,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,10,1,0,14.058089808337975,3.2251211962197717,0.8,0.8,0.0,1.2212941180087522,0.3557189584031949,0,0,30,0.0,0.7417078633825034,0.0,0.8641794797451349,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,11,1,0,12.631947272304018,2.7363985114409726,0.8,0.8,0.0,1.348722982746981,0.39679154341091905,0,0,30,0.0,0.7866216031764748,0.0,0.9054912070879622,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,12,1,0,11.714045775153055,2.658476214247147,0.8,0.8,0.0,1.0331149157854917,0.4123375058656867,0,0,30,0.0,0.8057068364141143,0.0,0.8977191889728647,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,13,1,0,10.395308597034038,2.344569057899333,0.8,0.8,0.0,1.3203499241731167,0.4512524891444494,0,0,30,0.0,0.7347804612934586,0.0,0.9135445526454559,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,14,1,0,15.421453702610123,3.3260671902521723,0.8,0.8,0.0,1.1796987825134189,0.32323874208910197,0,0,30,0.0,0.794941394438888,0.0,0.8976703044631421,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,15,1,0,10.795221452821501,2.3500202399051022,0.8,0.8,0.0,1.5232628720202106,0.4529467289558495,0,0,30,0.0,0.8191716476339158,0.0,0.9279083420185621,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,16,1,0,21.485584008293195,3.349486796635197,0.6,0.6,0.0,1.30072351616712,0.3825265216744293,0,0,30,0.0,0.7374896110306274,0.0,0.8609279314747222,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,17,1,0,12.083633818381095,2.5213525830831465,0.8,0.8,0.0,1.2271234691778972,0.38761722323631437,0,0,30,0.0,0.7634794239375661,0.0,0.8968260840729411,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,18,1,0,24.273633998513603,3.9612290408126487,0.6,0.6,0.0,1.393778646353608,0.352675804837554,0,0,30,0.0,0.7776781292707706,0.0,0.8011207242340707,0.0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,19,1,0,11.307719404594422,2.817953004006431,0.8,0.8,0.0,1.531166383273654,0.43635807135013016,0,0,30,0.0,0.7979115530471464,0.0,0.9219861555679902,0.0,0.0,0.0,0.0
