benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
smoke_gaussian_seed2,lstm,CARLA,0,1,71.85068583646199,14.114573429222116,0.28,0.0,0.26666666666666666,1.1991100572415099,0.1918864440288299,8,0,1.0,0.9999999918618655,0.0,0.5209295688881447,1.0,0.0
smoke_gaussian_seed2,lstm,CARLA,1,1,94.71446219511833,18.33280760658253,0.28,0.0,0.26666666666666666,1.4263958780751647,0.24576356884287776,8,0,1.0,0.9999999853931039,0.0,0.4222821881564178,1.0,0.0
smoke_gaussian_seed2,lstm,CARLA,2,1,84.91072576164902,15.76637774750296,0.28,0.0,0.26666666666666666,1.1505873706618446,0.3007078959027218,8,0,1.0,0.999999973983831,0.0,0.4638219517946118,1.0,0.0
smoke_gaussian_seed2,lstm,CARLA,3,1,66.28449966767128,12.86434056178037,0.2866666666666667,0.0,0.26666666666666666,1.5958130099302172,0.26273282817691973,8,0,1.0,0.9999999926683769,0.0,0.5477406913876676,1.0,0.0
smoke_gaussian_seed2,lstm,CARLA,4,1,73.90506947230028,14.13016614125668,0.2866666666666667,0.0,0.26666666666666666,1.5010587294867572,0.26376168370350844,8,0,1.0,0.9999999909712234,0.0,0.5103925711663411,1.0,0.0
smoke_gaussian_seed2,lstm,CARLA,5,1,67.50147001219861,13.359518935881175,0.2866666666666667,0.0,0.26666666666666666,1.3263514042518996,0.28610724084034433,8,0,1.0,0.9999999931746387,0.0,0.5410472658449239,1.0,0.0
smoke_gaussian_seed2,lstm,CARLA,6,1,84.21214234649155,15.100238670928112,0.28,0.0,0.26666666666666666,1.5634169319756495,0.29219045509603436,8,0,1.0,0.9999999908631722,0.0,0.46569424815012056,1.0,0.0
smoke_gaussian_seed2,lstm,CARLA,7,1,68.26756936315394,13.724495448774318,0.28,0.0,0.26666666666666666,1.2818859850800781,0.24680388216304192,8,0,1.0,0.9999999945058358,0.0,0.5374445897953826,1.0,0.0
smoke_gaussian_seed2,lstm,CARLA,8,1,72.0639518132757,16.262159141385474,0.2866666666666667,0.0,0.26666666666666666,1.534008983076579,0.2996801959209165,8,0,1.0,0.9999999936948097,0.0,0.5192907418741904,1.0,0.0
smoke_gaussian_seed2,lstm,CARLA,9,1,81.86167868832311,14.1102595613382,0.2866666666666667,0.0,0.26666666666666666,1.6333556456586493,0.27122534944199156,8,0,1.0,0.9999999859564086,0.0,0.47416078029841535,1.0,0.0
smoke_gaussian_seed2,lstm,CARLA,10,1,76.66766472821618,12.271953652994352,0.28,0.0,0.26666666666666666,1.567419375723151,0.24528302546743458,8,0,1.0,0.9999999789938405,0.0,0.49877938326913923,1.0,0.0
smoke_gaussian_seed2,lstm,CARLA,11,1,53.19096286897323,10.621151376116146,0.29333333333333333,0.0,0.26666666666666666,1.2869827301431738,0.3225749776008353,8,0,1.0,0.9999999834326964,0.0,0.6158942874067017,1.0,0.0
smoke_gaussian_seed2,lstm,CARLA,12,1,80.24362443073484,14.194672764722778,0.2866666666666667,0.0,0.26666666666666666,1.051451903543307,0.3540227021119574,8,0,1.0,0.999999986244234,0.0,0.480815429257631,1.0,0.0
