config,method,T_minus_t0,t0,t_label,label_horizon,n_seeds,validity,validity_lo,validity_hi,ps_C_world_oracle,ps_C_world_oracle_lo,ps_C_world_oracle_hi,ps_delta_total,ps_delta_total_lo,ps_delta_total_hi
full,CARLA,5,95,99,4,3,1.0,1.0,1.0,0.31666666666666665,0.20000000000000004,0.45,0.6833333333333332,0.55,0.8000000000000002
full,PearlCARLA,5,95,99,4,3,0.8833333333333333,0.75,0.9499999999999998,0.8833333333333333,0.75,0.9499999999999998,0.0,0.0,0.0
full,CARLA,10,90,99,9,3,1.0,1.0,1.0,0.2333333333333333,0.20000000000000004,0.25,0.7666666666666666,0.75,0.8000000000000002
full,PearlCARLA,10,90,99,9,3,0.85,0.75,0.9499999999999998,0.85,0.75,0.9499999999999998,0.0,0.0,0.0
full,CARLA,20,80,99,19,3,1.0,1.0,1.0,0.08333333333333333,0.05000000000000001,0.10000000000000002,0.9166666666666666,0.9,0.9499999999999998
full,PearlCARLA,20,80,99,19,3,0.7833333333333333,0.65,0.9499999999999998,0.7666666666666666,0.65,0.9499999999999998,0.01666666666666668,0.0,0.050000000000000044
full,CARLA,40,60,99,39,3,0.65,0.0,1.0,0.0,0.0,0.0,0.65,0.0,1.0
full,PearlCARLA,40,60,99,39,3,0.15,0.0,0.25,0.15,0.0,0.3,9.25185853854297e-18,-0.09999999999999998,0.10000000000000002
full_interior_label_late,CARLA,5,95,90,-5,3,0.16666666666666666,0.10000000000000002,0.3,0.05000000000000001,0.0,0.10000000000000002,0.11666666666666665,0.0,0.25
full_interior_label_late,PearlCARLA,5,95,90,-5,3,0.4166666666666667,0.20000000000000004,0.85,0.05000000000000001,0.0,0.10000000000000002,0.36666666666666664,0.10000000000000002,0.7999999999999999
full_interior_label_late,CARLA,10,90,90,0,3,0.9666666666666667,0.9499999999999998,1.0,0.8999999999999999,0.85,0.9499999999999998,0.06666666666666665,0.0,0.09999999999999998
full_interior_label_late,PearlCARLA,10,90,90,0,3,1.0,1.0,1.0,0.9333333333333332,0.8000000000000002,1.0,0.06666666666666665,0.0,0.19999999999999996
full_interior_label_late,CARLA,20,80,90,10,3,1.0,1.0,1.0,0.13333333333333333,0.10000000000000002,0.15,0.8666666666666667,0.85,0.9
full_interior_label_late,PearlCARLA,20,80,90,10,3,0.85,0.6999999999999998,0.9499999999999998,0.6,0.4000000000000001,0.75,0.24999999999999997,0.04999999999999993,0.5499999999999999
full_interior_label_late,CARLA,40,60,90,30,3,0.9500000000000001,0.85,1.0,0.05000000000000001,0.0,0.10000000000000002,0.9,0.75,1.0
full_interior_label_late,PearlCARLA,40,60,90,30,3,0.30000000000000004,0.05000000000000001,0.55,0.18333333333333335,0.05000000000000001,0.3,0.11666666666666668,0.0,0.25000000000000006
