config,method,T_minus_t0,t0,t_label,label_horizon,n_seeds,validity,validity_lo,validity_hi,ps_C_world_oracle,ps_C_world_oracle_lo,ps_C_world_oracle_hi,ps_delta_total,ps_delta_total_lo,ps_delta_total_hi,frac_vacuous,frac_vacuous_lo,frac_vacuous_hi
full,CARLA,5,95,99,4,3,1.0,1.0,1.0,0.31666666666666665,0.20000000000000004,0.45,0.6833333333333332,0.55,0.8000000000000002,0.10000000000000002,0.05000000000000001,0.15
full,PearlCARLA,5,95,99,4,3,0.8833333333333333,0.75,0.9499999999999998,0.8833333333333333,0.75,0.9499999999999998,0.0,0.0,0.0,0.0,0.0,0.0
full,CARLA,10,90,99,9,3,1.0,1.0,1.0,0.2333333333333333,0.20000000000000004,0.25,0.7666666666666666,0.75,0.8000000000000002,0.18333333333333335,0.10000000000000002,0.25
full,PearlCARLA,10,90,99,9,3,0.85,0.75,0.9499999999999998,0.85,0.75,0.9499999999999998,0.0,0.0,0.0,0.0,0.0,0.0
full,CARLA,20,80,99,19,3,1.0,1.0,1.0,0.08333333333333333,0.05000000000000001,0.10000000000000002,0.9166666666666666,0.9,0.9499999999999998,0.016666666666666666,0.0,0.05000000000000001
full,PearlCARLA,20,80,99,19,3,0.7833333333333333,0.65,0.9499999999999998,0.7666666666666666,0.65,0.9499999999999998,0.01666666666666668,0.0,0.050000000000000044,0.0,0.0,0.0
full,CARLA,40,60,99,39,3,0.65,0.0,1.0,0.0,0.0,0.0,0.65,0.0,1.0,0.0,0.0,0.0
full,PearlCARLA,40,60,99,39,3,0.15,0.0,0.25,0.15,0.0,0.3,9.25185853854297e-18,-0.09999999999999998,0.10000000000000002,0.0,0.0,0.0
full_nl,CARLA,5,95,99,4,3,1.0,1.0,1.0,0.11666666666666665,0.05000000000000001,0.20000000000000004,0.8833333333333333,0.8000000000000002,0.9499999999999998,0.0,0.0,0.0
full_nl,PearlCARLA,5,95,99,4,3,0.9333333333333332,0.8000000000000002,1.0,0.7833333333333333,0.4000000000000001,1.0,0.15000000000000002,0.0,0.4000000000000001,0.0,0.0,0.0
full_nl,CARLA,10,90,99,9,3,0.6666666666666666,0.0,1.0,0.03333333333333333,0.0,0.10000000000000002,0.6333333333333333,-0.10000000000000002,1.0,0.0,0.0,0.0
full_nl,PearlCARLA,10,90,99,9,3,0.26666666666666666,0.0,0.6999999999999998,0.26666666666666666,0.0,0.6999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
full_nl,CARLA,20,80,99,19,3,0.6666666666666666,0.0,1.0,0.03333333333333333,0.0,0.10000000000000002,0.6333333333333333,-0.10000000000000002,1.0,0.03333333333333333,0.0,0.10000000000000002
full_nl,PearlCARLA,20,80,99,19,3,0.0,0.0,0.0,0.03333333333333333,0.0,0.10000000000000002,-0.03333333333333333,-0.10000000000000002,0.0,0.016666666666666666,0.0,0.05000000000000001
full_nl,CARLA,40,60,99,39,3,0.6666666666666666,0.0,1.0,0.03333333333333333,0.0,0.10000000000000002,0.6333333333333333,-0.10000000000000002,1.0,1.0,1.0,1.0
full_nl,PearlCARLA,40,60,99,39,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,1.0
