config,mode,method,n_seeds,A_model_proposed,A_model_proposed_lo,A_model_proposed_hi,B_model_oracle,B_model_oracle_lo,B_model_oracle_hi,C_world_oracle,C_world_oracle_lo,C_world_oracle_hi,delta_total,delta_total_lo,delta_total_hi,delta_trajectory,delta_trajectory_lo,delta_trajectory_hi,delta_outcome,delta_outcome_lo,delta_outcome_hi,do_complexity_mean,do_complexity_mean_lo,do_complexity_mean_hi
full,single_slice,CARLA,3,0.21333333333333335,0.0,0.64,0.0,0.0,0.0,0.006666666666666667,0.0,0.02,0.20666666666666667,0.0,0.62,0.21333333333333335,0.0,0.64,-0.006666666666666667,-0.02,0.0,69.66666666666667,59.0,75.0
full,single_slice,CftsCOMTE,3,1.0,1.0,1.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.02,0.9933333333333333,0.98,1.0,1.0,1.0,1.0,-0.006666666666666667,-0.02,0.0,83.28666666666666,72.34,97.59999999999998
full,single_slice,CftsCels,3,0.7691297208538588,0.7428571428571429,0.7931034482758621,0.0,0.0,0.0,0.009523809523809523,0.0,0.02857142857142857,0.7596059113300493,0.7428571428571429,0.7931034482758621,0.7691297208538588,0.7428571428571429,0.7931034482758621,-0.009523809523809523,-0.02857142857142857,0.0,6.578653530377668,4.793103448275862,8.542857142857143
full,single_slice,CftsConfeti,3,1.0,1.0,1.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.05555555555555555,0.9814814814814815,0.9444444444444443,1.0,1.0,1.0,1.0,-0.018518518518518517,-0.05555555555555555,0.0,100.0,100.0,100.0
full,single_slice,CftsWachter,3,0.9199999999999999,0.82,0.98,0.0,0.0,0.0,0.006666666666666667,0.0,0.02,0.9133333333333332,0.7999999999999999,0.98,0.9199999999999999,0.82,0.98,-0.006666666666666667,-0.02,0.0,96.44,91.54,99.58
full,single_slice,PearlCARLA,3,0.02040816326530612,0.0,0.06122448979591836,0.02040816326530612,0.0,0.06122448979591836,0.006802721088435374,0.0,0.02040816326530612,0.01360544217687075,0.0,0.04081632653061225,0.0,0.0,0.0,0.01360544217687075,0.0,0.04081632653061225,0.9693877551020408,0.9285714285714285,1.0
full,schedule,CARLA,3,0.21333333333333335,0.0,0.64,0.20666666666666667,0.0,0.62,0.20666666666666667,0.0,0.62,0.006666666666666672,0.0,0.020000000000000018,0.006666666666666672,0.0,0.020000000000000018,0.0,0.0,0.0,69.66666666666667,59.0,75.0
full,schedule,CftsCOMTE,3,1.0,1.0,1.0,1.0,1.0,1.0,0.8133333333333334,0.6999999999999998,0.98,0.18666666666666668,0.020000000000000018,0.30000000000000004,0.0,0.0,0.0,0.18666666666666668,0.020000000000000018,0.30000000000000004,83.28666666666666,72.34,97.59999999999998
full,schedule,CftsCels,3,0.7691297208538588,0.7428571428571429,0.7931034482758621,0.7691297208538588,0.7428571428571429,0.7931034482758621,0.7215106732348112,0.6571428571428571,0.7931034482758621,0.04761904761904764,0.0,0.11428571428571432,0.0,0.0,0.0,0.04761904761904764,0.0,0.11428571428571432,6.578653530377668,4.793103448275862,8.542857142857143
full,schedule,CftsConfeti,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9229629629629629,0.88,0.9444444444444443,0.07703703703703706,0.05555555555555558,0.12,0.0,0.0,0.0,0.07703703703703706,0.05555555555555558,0.12,100.0,100.0,100.0
full,schedule,CftsWachter,3,0.9199999999999999,0.82,0.98,0.9199999999999999,0.82,0.98,0.5333333333333333,0.42,0.6,0.3866666666666667,0.36000000000000004,0.4000000000000001,0.0,0.0,0.0,0.3866666666666667,0.36000000000000004,0.4000000000000001,96.44,91.54,99.58
full,schedule,PearlCARLA,3,0.020833333333333332,0.0,0.0625,0.020833333333333332,0.0,0.0625,0.006944444444444444,0.0,0.020833333333333332,0.01388888888888889,0.0,0.041666666666666664,0.0,0.0,0.0,0.01388888888888889,0.0,0.041666666666666664,1.0,1.0,1.0
