config,mode,method,n_seeds,A_model_proposed,A_model_proposed_lo,A_model_proposed_hi,B_model_oracle,B_model_oracle_lo,B_model_oracle_hi,C_world_oracle,C_world_oracle_lo,C_world_oracle_hi,delta_total,delta_total_lo,delta_total_hi,delta_trajectory,delta_trajectory_lo,delta_trajectory_hi,delta_outcome,delta_outcome_lo,delta_outcome_hi,do_complexity_mean,do_complexity_mean_lo,do_complexity_mean_hi
full_nl,single_slice,CARLA,3,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.02,0.66,-0.02,1.0,0.6666666666666666,0.0,1.0,-0.006666666666666667,-0.02,0.0,72.66666666666667,70.0,74.0
full_nl,single_slice,CftsCOMTE,3,1.0,1.0,1.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.02,0.9933333333333333,0.98,1.0,1.0,1.0,1.0,-0.006666666666666667,-0.02,0.0,91.87306122448979,85.58,98.08
full_nl,single_slice,CftsCels,3,1.0,1.0,1.0,0.038789428815004266,0.0,0.08695652173913043,0.05328218243819267,0.0,0.13043478260869565,0.9467178175618073,0.8695652173913043,1.0,0.9612105711849958,0.9130434782608696,1.0,-0.014492753623188406,-0.043478260869565216,0.0,3.83461210571185,3.2647058823529407,4.5
full_nl,single_slice,CftsConfeti,3,0.9901960784313726,0.9705882352941176,1.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.05555555555555555,0.9716775599128541,0.9444444444444443,1.0,0.9901960784313726,0.9705882352941176,1.0,-0.018518518518518517,-0.05555555555555555,0.0,100.0,100.0,100.0
full_nl,single_slice,CftsWachter,3,0.98,0.98,0.98,0.0,0.0,0.0,0.006666666666666667,0.0,0.02,0.9733333333333333,0.96,0.98,0.98,0.98,0.98,-0.006666666666666667,-0.02,0.0,99.21999999999998,98.82,99.66000000000001
full_nl,single_slice,PearlCARLA,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
full_nl,schedule,CARLA,3,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.66666666666667,70.0,74.0
full_nl,schedule,CftsCOMTE,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9798639455782313,0.96,1.0,0.020136054421768728,0.0,0.040000000000000036,0.0,0.0,0.0,0.020136054421768728,0.0,0.040000000000000036,91.87306122448979,85.58,98.08
full_nl,schedule,CftsCels,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9518938009986604,0.9285714285714285,0.9705882352941176,0.048106199001339646,0.02941176470588236,0.0714285714285714,0.0,0.0,0.0,0.048106199001339646,0.02941176470588236,0.0714285714285714,3.83461210571185,3.2647058823529407,4.5
full_nl,schedule,CftsConfeti,3,0.9901960784313726,0.9705882352941176,1.0,0.9901960784313726,0.9705882352941176,1.0,0.9055258467023174,0.8529411764705882,1.0,0.08467023172905526,0.0,0.13636363636363635,0.0,0.0,0.0,0.08467023172905526,0.0,0.13636363636363635,100.0,100.0,100.0
full_nl,schedule,CftsWachter,3,0.98,0.98,0.98,0.98,0.98,0.98,0.6133333333333333,0.58,0.68,0.3666666666666667,0.29999999999999993,0.4000000000000001,0.0,0.0,0.0,0.3666666666666667,0.29999999999999993,0.4000000000000001,99.21999999999998,98.82,99.66000000000001
full_nl,schedule,PearlCARLA,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
